Feature1,Feature2,Pearson_Corr,Pearson_p-value,Spearman_Corr,Spearman_p-value,Kendall_Corr,Kendall_p-value
dom_books,for_books,0.23779472786845585,1.0273560475208508e-52,0.36340759494834945,1.3943667594335675e-125,0.2577167506959904,3.015930742205006e-120
dom_books,local_mat,0.39548603164686214,2.1036771498377116e-150,0.4918752892862658,1.2357445564342113e-243,0.3754523007447621,2.9111893087569888e-238
dom_books,nonbook_mat,0.44429840984281654,7.520655178199989e-194,0.7425068776123882,0.0,0.5566973631683201,0.0
dom_books,elec_mat,0.33622155632850226,1.1571993966497045e-106,0.4386866356795814,1.753228380502711e-188,0.3193582298126304,7.601313737921701e-187
dom_books,serials,0.505735923757586,1.1014339522369784e-259,0.6688718307231606,0.0,0.48222564292367937,0.0
dom_books,ann_growth,0.4305268779711743,7.414467306619087e-181,0.5508168411561921,2.425651e-317,0.4162553090928317,0.0
dom_books,ann_weeding,0.3617777500348828,2.147304176884608e-124,0.4772551310050642,1.7304505401873555e-227,0.3541125576297425,1.1061335961871615e-217
dom_books,lib_site_area,0.3741546925419678,1.3765309960771552e-133,0.4938704171935083,6.714770986144334e-246,0.34789907690430194,3.1003609614681386e-239
dom_books,lib_build_area,0.5224278247558716,5.044632856401889e-280,0.6977412506472609,0.0,0.5155543954881702,0.0
dom_books,total_seats,0.5038082263783334,2.0832146025104468e-257,0.7096034951097792,0.0,0.5232939073975081,0.0
dom_books,user_comps,0.4577647297744639,3.7743098944226076e-207,0.6090571703652546,0.0,0.4388265036339844,0.0
dom_books,self_srv_machines,0.186344550860972,1.090488286950687e-32,0.21176408070717825,6.326216321183686e-42,0.1624075564033833,5.300692618068566e-42
dom_books,full_time,0.5650877966204948,0.0,0.7430801902598302,0.0,0.5741180561257101,0.0
dom_books,part_time,0.3250532632234916,2.0047484623773193e-99,0.45223251444576473,1.2973497432385807e-201,0.3177754191547598,6.858407493495355e-186
dom_books,support_staff,0.28524789683356805,5.097282601026625e-76,0.36143985423673197,3.777633751626739e-124,0.25231259145488955,1.1054014067218818e-121
dom_books,total_budget,0.41006981200985826,1.229021494399543e-162,0.7069313420559244,0.0,0.5251550520133901,0.0
dom_books,acq_budget,0.38303476013255994,1.9521525657540574e-140,0.6508762446745466,0.0,0.48118431200768,0.0
dom_books,open_days,0.20459112408166377,3.4329497758876055e-39,0.2326046134941878,1.8738998585302993e-50,0.15914734871954916,1.2323998812581855e-49
dom_books,avg_week_hours,0.15367374023964953,1.226426887857033e-22,0.2763687484954,2.7375305519883365e-71,0.18578975088032293,1.7135904143904375e-67
dom_books,reg_members,0.4962411957738985,1.3063796743004343e-248,0.7093910430900953,0.0,0.5230137031445105,0.0
dom_books,lib_visitors,0.4469404414385507,2.0606372625363387e-196,0.6624062552063442,0.0,0.4765887032029513,0.0
dom_books,service_recip,0.15702775595269347,1.409692476490062e-23,0.15115037057040132,6.049673577981201e-22,0.10889036220959485,4.666747338905213e-25
dom_books,borrowers,0.31873445752722424,1.8375946638653763e-95,0.3957704070310037,1.2310059916197765e-150,0.26827442859483824,3.1566399289528262e-143
dom_books,loans,0.46744784901059266,4.338109060569405e-217,0.6484881886829571,0.0,0.4597207762981451,0.0
dom_books,interlib_loans,0.19724032336823855,1.709916781700135e-36,0.3165832108077943,3.9038679097414923e-94,0.23789889012449567,6.706126106163821e-102
