,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,45867,1300,0,1784,10601,46,5911,36,1621,2848,159,33,5,9,0,0,489182,87240,297,64,4392,71021,79401,1066,137578,0,0,1196,16,567,21,4265,188,0,417994,79839,68419.0
1,59878,39,27,1304,0,60,3076,0,1931,7301,147,18,1,6,0,0,663404,7200,290,44,394,9000,153065,389,4269,0,34,861277,0,0,0,0,0,0,1461815,29643,12956.0
2,22493,580,0,0,3596,50,4773,17,806,806,100,6,3,4,4,16,202278,31960,295,54,4071,94835,666635,6768,446824,8771,0,34882,0,0,15,10019,71,0,164601,34852,31911.0
3,39951,1127,4,8536,13045,93,5014,0,7160,2103,136,8,3,6,14,7,1076170,70172,296,68,4942,303028,451848,20285,127541,8862,32982,66237,11,208,211,17532,320,0,1021714,75638,67669.0
4,134480,2806,0,3552,0,49,8723,47,4887,3877,372,18,4,10,6,1768,1072304,86766,297,88,389258,668431,484663,8827,234359,4518,29796,82634,102,1834,63,14796,324,1440,975373,91829,81909.0
5,84771,24890,54,3554,0,21,7756,1706,5359,2923,263,22,1,8,7,7,1883040,106600,296,74,21615,198535,229071,5394,187466,556,5944,0,105,1667,54,24023,95,0,2529472,90000,105358.0
6,53195,3393,0,1450,4017,54,6361,1086,486,966,138,7,0,9,6,368,937275,66100,365,95,1465,284513,125725,5382,74868,6567,0,434942,39,869,104,14166,167,6600,737748,79944,105670.0
7,19299,0,0,0,16264,28,2965,0,1094,1908,200,3,3,5,4,3,484754,51750,245,60,1206,98618,447026,1088,50867,20094,4900,511126,16,235,41,28392,127,3600,463315,43000,71752.0
8,69174,7692,33,2510,0,42,4159,379,3693,1470,97,8,2,1,11,82,562547,54730,348,83,5030,60761,62918,1269,38897,332,6552,11848,0,0,25,2040,0,23870,567286,59636,14230.0
9,80482,0,6,3019,0,52,3303,2398,2692,1485,150,6,2,3,9,0,583950,30400,355,80,8241,41542,62918,1453,36482,938,0,16389,49,861,52,2890,0,2100,567286,59636,43765.0
10,65467,1952,91,1528,0,53,3767,193,4503,2485,207,13,2,1,14,41,583542,30725,350,83,412,91272,62918,1961,240366,588,1200,17673,91,1826,85,6376,254,1000,567286,59636,43763.0
11,162461,0,130,5711,3813,75,23691,9957,7485,3602,270,18,4,7,11,0,696115,34144,273,83,14079,100857,62918,2794,52070,494,8320,23069,3,51,28,1621,220,1000,899510,306860,76165.0
12,180168,11201,51,7177,926,57,10143,57,1488,2706,495,26,2,7,12,1755,1269057,89478,297,73,331229,662860,484663,8731,150086,1325,31482,109362,46,792,49,14412,518,1933,1203410,158044,83261.0
