,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,44730,19,27,1304,0,115,1088,0,1931,7301,379,38,1,10,0,2,818744,34358,294,44,114,76524,154986,1456,1456,8,0,652480,0,0,0,0,0,0,757634,19712,21796.0
1,26405,835,0,8351,11077,95,5801,0,7160,2103,136,8,3,5,12,6,550000,61280,298,56,2457,293452,423321,2479,128793,6865,47670,2096760,20,478,162,9770,490,0,513309,61220,61179.0
2,110507,1825,0,3314,0,27,6890,0,4887,3877,780,14,2,8,6,1144,1033194,79518,298,70,156885,460407,490859,35699,193182,164,21864,34600,116,2137,1078,19070,156,1440,931525,107158,105421.0
3,69570,20364,48,3170,0,24,3959,2466,5359,2923,263,19,0,9,1,4,779843,56000,298,76,19547,201982,239579,7473,178804,236,6240,6845,61,1210,36,6649,0,0,754214,38000,80472.53956043956
4,51158,819,60,1264,3813,42,6711,16,4503,2485,207,13,2,2,10,3,413172,32200,357,83,4546,129568,62008,24876,61395,959,7220,6171,0,0,80,11467,111,640,424000,60000,46841.0
5,71629,0,6,2994,0,52,3842,122,2692,1485,213,6,1,3,10,0,491550,45400,357,81,6895,54811,62008,16284,42113,426,0,7007,13,350,98,6283,0,7000,511900,47900,30400.0
6,139773,0,241,5284,3813,89,3452,0,2753,836,140,13,2,7,10,158,543172,32200,357,83,11609,119560,62008,2633,66354,1320,7280,40436,2,30,36,4026,79,6400,518956,30000,34894.0
7,155836,2778,0,6936,926,35,11443,0,1488,2706,800,25,2,14,10,2575,1619839,129518,298,70,70424,494072,490859,45170,179718,145,23840,75924,87,1654,691,21580,180,2042,1368357,107158,151701.0
8,23893,439,0,0,2959,26,5890,0,919,2678,100,6,2,2,5,39,157400,29400,288,60,6369,442521,484532,6743,131497,6915,6240,218182,16,374,251,5730,35,20000,225582,67582,65817.0
9,15329,0,0,0,0,17,15346,0,2201,1331,160,12,2,4,0,0,313347,63080,81,54,602,12150,96396,447,3326,0,810,6309,5,100,5,100,0,0,813718,150000,60000.0
10,55493,0,0,0,0,23,2412,0,10101,308,12,1,0,1,2,0,126937,26532,298,52,1085,18447,259773,650,25999,0,0,0,0,0,0,0,19,0,119353,20000,24032.0
11,29654,2137,9,0,17483,9,4506,350,1245,568,199,1,0,2,4,15,173753,25739,322,56,5961,231163,576495,7435,55941,20107,5962,64807,0,0,24,1509,2,0,165025,25384,26806.0
12,146999,8163,248,8316,27021,458,12244,16271,1079,1631,372,37,0,20,7,152,1683584,166573,325,75,62854,526825,576495,10597,264276,125,114192,260185,390,1762,129,46039,2068,47300,1652801,156294,80472.53956043956
13,72587,6194,50,2900,13162,63,10509,256,1252,1207,214,28,3,5,6,860,559463,38852,289,88,26765,704402,458658,8850,288973,567,75140,107414,44,1940,173,36388,754,12817,571488,99968,74968.0
14,63231,5003,0,2528,1568,56,6462,0,403,1035,60,31,2,5,4,903,553530,19532,289,60,30709,399716,458658,6460,202077,4,0,134254,21,615,115,22312,515,32017,528769,67132,57889.0
15,67414,6515,534,1861,4797,71,9788,0,642,1759,391,30,3,5,6,967,689565,48860,289,68,22907,589561,458658,11112,347814,7,52020,175951,33,725,627,12077,528,39050,676619,105327,86193.0
16,79533,5603,15,2901,13162,104,7922,0,987,1767,237,32,5,6,9,1404,647250,33900,289,91,54844,785550,458658,12515,275516,218,72240,168987,72,1385,129,24772,695,13271,630582,86051,70909.0
17,180244,7139,527,6121,29823,895,12521,17483,3196,3082,830,39,5,21,7,1178,1798877,170323,321,75,89431,863415,458658,16297,322633,361,360358,454893,1293,3699,151,83330,2183,32733,1834543,158255,80472.53956043956
18,166042,3994,245,7482,14612,390,23800,5123,8678,4944,660,44,0,18,5,652,1430976,115803,298,74,14905,465288,214560,4050,114838,6,12480,56735,22,522,186,97536,1446,28069,1487809,109429,80472.53956043956
19,285142,0,909,3810,2262,37,9222,0,4067,2583,464,36,2,6,16,1230,1007750,125400,300,78,45197,284045,214560,8281,133664,7548,0,89104,117,2286,2,380,0,10000,1021431,97985,95539.0
20,178879,4588,457,8782,7976,88,15109,5595,8002,5574,551,68,2,22,11,857,1769711,80600,326,74,63645,1746205,330873,13272,410349,37584,208,1314557,108,2499,107,44055,2941,8901,1536871,155543,154348.0
21,35229,981,0,0,7976,46,4585,47,692,1777,22,22,0,4,6,210,349489,22760,323,56,12873,164436,330873,4306,59431,7018,208,506876,6,62,9,1035,236,0,356126,42710,46070.0
22,32205,982,3,882,2913,61,6558,0,3210,1851,287,19,3,7,5,217,701684,82940,297,78,16744,279059,589074,9621,109249,7761,213583,625534,25,473,74,11961,736,2347,584905,52484,53751.0
23,44587,3076,11,2256,2913,101,7213,0,947,2281,291,13,3,11,5,91,1024749,102505,337,94,24302,340391,589074,11242,181522,9337,28718,2838181,24,529,98,14387,967,5195,878978,105385,123755.0
24,13769,22,0,0,2913,80,15596,0,30145,3013,323,11,1,7,5,8,478835,55950,81,73,2656,74253,589074,3415,25724,807,2147,2838181,0,0,15,1771,0,0,400559,167003,74539.0
25,28545,1915,0,275,2913,23,6143,0,1653,402,166,2,0,3,2,82,371122,72335,296,73,14753,208997,589074,6583,87781,9002,3328,625534,34,570,64,23356,47,10000,297418,37335,38217.0
26,38462,3669,0,858,2913,28,7662,1546,1011,757,200,5,0,5,2,1031,495863,71656,298,73,16035,174903,589074,5559,114792,8680,27486,625534,22,313,261,60665,0,2080,460435,43281,41210.0
27,41257,4286,0,873,2913,34,5898,0,1100,855,207,6,0,6,2,1720,609569,51899,297,72,21117,258520,589074,8217,160084,8159,9360,625534,77,1666,60,8002,0,0,571439,47715,47611.0
28,222821,7678,654,10334,27792,819,13233,16434,3576,4024,952,41,0,25,12,247,2222500,195649,325,75,83940,983580,589074,17407,418532,180,546034,383026,388,4116,194,104934,1667,39894,2268026,165869,80472.53956043956
29,3754,19305,0,1356,6713,32,4812,0,623,439,177,7,0,4,0,65,317656,44039,295,47,3815,93260,589074,2317,75023,1849,2968,2838181,6,127,37,6725,509,1201,289274,35755,40387.0
30,40123,2930,13,866,2913,33,6388,388,436,708,91,8,0,5,4,44,413097,34189,298,74,13842,224824,589074,7050,98676,9732,5612,625534,33,809,64,13855,151,5875,374070,42554,44058.0
31,61766,279,2421,6357,10481,65,6637,0,4288,3183,883,29,0,11,3,9,853440,20000,308,81,13546,101179,38758,3484,122093,2,0,520847,0,0,10,1603,567,0,754485,44700,59700.0
