,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,38099,0,0,568,0,136,2593,1235,1931.0,7301.0,371,40,0,8,0,3,776940,45113,299,8,4072,188000,170410,3127,0,0,0,10000,0,0,0,0,0,0,766949,26047,28397
1,71614,0,0,2639,0,23,4658,0,4887.0,3877.0,800,33,0,11,0,0,674839,55800,302,70,28686,742494,499172,72695,125377,0,5948,596581,91,2830,26,17556,0,0,630830,42127,60096
2,46674,0,5,1500,0,30,13630,0,2692.0,1321.0,213,6,0,5,1,18,358606,58806,327,56,3324,89476,58061,21250,34195,50,0,50601,6,120,63,7595,0,0,348000,120000,90605
3,131834,0,0,2767,4588,30,16017,9020,2754.0,837.0,150,14,0,7,5,0,499802,161840,327,56,8595,95380,35698,4756,200705,111,0,534000,1,10,35,4082,0,0,519861,225000,157840
4,99631,0,0,6242,926,93,7384,0,1488.0,2706.0,800,30,0,15,9,3,1071645,55800,302,70,68775,1005391,499172,103890,172846,0,6040,90485,20,650,27,17104,0,0,1015678,65834,82805
5,50503,0,0,0,0,12,3882,2912,2665.0,327.0,60,0,0,2,2,0,130054,32304,296,66,4500,38950,6883,23101,23101,0,0,0,0,0,0,0,0,0,98000,30000,30000
6,141265,1424,109,4668,503,820,11270,11331,1079.0,1631.0,311,38,0,21,3,9,437679,98180,280,60,52826,782175,557832,91567,181060,68,90108,109500,102,1730,84,150689,83,2480,353526,106929,106000
7,30803,1708,30,1102,88,49,15123,0,403.0,1035.0,218,28,0,4,1,3,540217,66000,302,60,11541,841448,116135,11541,193808,14,302000,589378,79,2092,171,7620,350,2500,461215,91715,13898
8,27120,1195,0,1549,0,110,29974,0,1945.0,1932.0,425,37,0,7,6,7,478928,104400,156,88,13176,643416,339870,2878,134355,0,34128,67764,19,513,65,4345,169,36470,1248588,235617,31237
9,163130,1245,20,5080,2802,1053,11927,12845,3196.0,2584.0,599,39,0,22,3,6,1393569,120280,320,66,69061,1374625,469024,15440,262286,52,165610,148679,595,3007,90,52326,74,2000,1353509,95715,118373
10,276250,1058,475,5513,3700,963,28070,0,4067.0,2541.0,826,95,0,9,5,34,3946267,485500,312,78,47500,904020,221936,340296,624245,3550,14352,71175,64,1280,46,2000,0,0,1724722,220000,485500
11,159916,1793,992,6561,4400,660,11292,6210,5741.0,4726.0,832,66,0,23,2,3,1608692,108520,341,58,2233,977488,218399,113810,225485,0,3144,112729,44,1171,531,99644,361,3406,1665985,10600,97000
12,128794,3069,698,10831,914,305,10763,5033,8002.0,5574.0,620,90,0,18,18,11,1458110,101236,328,72,44713,4969312,342711,15973,490980,44,31,702196,157,3189,171,4657,2901,742,1458110,101236,83400
13,44447,470,37,4479,0,76,4938,2327,692.0,1407.0,232,26,0,4,3,2,216513,49632,328,9,0,342443,0,0,0,3,0,12,1,30,4,600,409,0,289159,44000,25000
14,0,0,0,0,0,35,0,0,669.0,592.0,72,6,0,0,5,33,0,0,275,52,2175,210790,583545,120631,219727,0,0,0,0,0,0,0,0,0,245000,0,23750
15,15895,1008,0,324,333,24,18540,0,1100.0,1320.0,190,6,0,5,3,397,308998,23181,216,7,0,124688,576848,41889,41004,0,0,2079,0,0,26,4028,0,0,35805,8450,30814
16,212611,3515,0,5996,771,967,17099,14544,3576.0,4024.0,1020,41,0,30,22,9,724259,134100,329,110,79568,1388490,194515,151801,281149,26509,90426,292000,415,4783,1226,26327,0,0,711519,133987,166204
17,19096,459,0,277,55,34,19921,0,436.0,820.0,175,12,0,1,4,21,256439,18000,249,52,2892,148090,532148,20267,49926,1,0,380417,8,96,19,2221,3,0,258049,75298,29723
18,114986,0,4606,4882,7226,43,8319,4374,4288.0,2379.0,701,26,0,9,7,0,1083123,33500,302,68,7537,212752,41153,3258,114757,0,0,0,0,0,27,9100,0,2320,903609,99880,68942
19,35543,0,0,1309,1806,24,2302,0,993.0,871.0,192,12,0,2,0,0,321231,42880,303,54,8001,82041,67387,1361,36189,0,26,38048,0,0,2,2800,59,0,345871,42654,20000
20,167486,471,0,5534,516414,792,11345,10722,10000.0,2377.0,613,43,0,22,0,29,1338257,117540,326,10,98293,1465082,557832,115211,310263,199,111712,66467,1514,1566,106,176475,18,540,1288247,132569,153440
