,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,40192,1286,0,1618,4129,36,3071,36,1621,2848,159,33,5,7,0,1,630992,99730,299,64,3296,62859,78986,1226,36929,0,0,905,39,908,28,2357,188,0,642152,24914,79839.0
1,67682,39,27,1304,0,60,1200,0,1931,7301,147,18,1,6,0,0,797362,14000,290,44,5162,8200,154770,377,2090,0,30,741166,0,0,0,0,0,0,780926,13216,29643.0
2,17837,479,0,0,3440,44,3615,0,806,806,100,6,3,3,7,11,221778,29000,297,54,2950,87631,664496,5786,67443,7134,0,28302,0,0,45,11210,41,0,213769,28696,34852.0
3,35854,1120,0,8458,12286,95,6009,0,7160,2103,136,8,3,6,17,3,1034402,64240,299,70,4290,294664,437848,20175,134360,8827,33940,80577,52,888,135,10867,322,0,850469,59000,75638.0
4,125398,3297,0,3471,0,47,8497,223,4887,3877,372,18,4,8,8,1720,1111551,98200,299,73,359664,656724,487448,8982,222870,1800,29994,81735,96,1801,154,11009,276,1440,998628,101234,91829.0
5,79968,23802,41,3396,0,26,7601,538,5359,2923,263,22,0,8,7,11,2523874,96600,299,76,20872,219610,230516,5197,185017,547,5890,2160,81,1434,40,24579,0,0,871903,86000,90000.0
6,49446,2805,0,1331,3721,58,5874,0,486,966,138,7,0,4,11,182,725708,45067,365,91,18725,312515,125709,5047,72799,2155,0,305146,26,530,103,15012,144,3800,546416,43322,79944.0
7,61978,1909,109,1458,0,53,6058,0,4503,2485,207,13,2,2,10,2,534208,32400,354,83,431,111243,62973,2202,68697,901,1100,10583,48,905,27,3469,211,1000,473485,41666,86200.03253012049
8,79365,0,6,3226,0,52,4172,0,2692,1485,213,6,2,3,10,0,547510,39860,354,80,7844,44950,62973,1582,42639,326,0,7353,52,1159,44,4145,0,5215,573954,39434,86200.03253012049
9,148671,0,156,5284,3813,89,5467,0,2753,836,152,13,2,5,7,132,651050,32400,354,83,12775,103569,62973,2364,52602,797,7280,10510,0,0,34,2661,129,1000,305834,49568,86200.03253012049
10,172685,8686,51,7089,926,57,10810,257,1488,2706,495,26,2,8,13,2271,1352106,146500,299,73,329804,655185,487448,9210,220399,1063,31096,115715,86,1156,35,16924,421,3877,1254091,140846,158044.0
11,34733,1417,0,64,8488,38,3802,0,919,2226,160,4,2,1,8,26,401183,53864,299,68,6646,0,471154,7460,102570,13253,10,13115,25,584,90,4540,131,0,471118,78662,71339.0
12,28919,278,10,392,0,19,7580,4,2201,1331,160,10,1,3,1,97,118109,64700,301,72,2014,68875,97306,1061,14736,53,0,0,0,0,14,467,102,0,133912,70427,57348.0
13,56026,595,0,0,0,25,2549,0,10101,308,12,1,0,2,1,0,167702,20495,324,52,81184,7990,259485,3232,12124,0,0,0,0,0,12,36,82,0,167702,20495,21124.0
14,33572,2869,9,0,19249,14,3744,516,1245,568,199,1,0,3,2,38,193728,11520,318,56,7059,246954,556164,8265,53882,25397,2226,95427,0,0,22,2334,26,0,200028,33559,86200.03253012049
15,75671,1606,64,0,10293,93,40855,0,1626,1140,81,10,3,4,7,290,588204,93460,297,70,1140,77329,835590,2301,106869,39,18268,0,13,303,18,2318,469,42449,1095376,482000,91476.0
16,84720,6667,32,3137,2058,54,9166,0,1252,1207,234,27,3,6,4,945,731757,43812,298,90,29278,473113,436223,8601,260932,49,21050,153668,43,846,123,27936,885,17927,658923,91987,69654.0
17,69825,6097,35,2783,5151,55,5841,55,403,1035,218,27,2,4,4,676,772557,33108,275,60,34036,338585,436223,7609,227315,87,16500,156822,21,439,120,37111,898,18542,578764,66876,66992.0
18,78697,7459,121,2071,5151,65,9011,0,642,1759,391,30,3,6,8,1276,942055,53826,298,78,26776,811554,436223,10479,337575,10,17880,147877,54,824,141,68166,717,73067,669888,14593,44250.0
19,27222,440,0,169,1752,24,29241,0,2538,929,138,12,8,5,3,7,585536,52928,62,52,503,56706,436223,4760,19759,0,0,5059,3,58,24,182,0,0,531372,320490,58200.0
20,87960,6881,36,3063,6681,69,7840,65,987,1767,230,19,5,7,9,2990,454746,93859,302,66,60373,586275,436223,11573,224723,263,18120,157694,68,1393,111,51025,887,182676,741992,84812,88897.0
21,175735,4709,440,8164,16417,270,10032,6174,8678,4944,321,60,0,17,6,755,1627020,37180,299,48,13077,374914,213952,3755,112600,10,13000,48489,52,1202,140,44081,423,29856,1180915,102204,104000.0
22,317934,0,0,3810,2262,35,18031,0,4067,2583,464,36,2,7,15,815,1143455,100800,298,78,48323,420097,213952,49662,123911,11821,0,98167,107,2140,2,380,0,6000,1147415,104140,102985.0
23,194951,5696,485,11497,8261,94,15399,6125,8002,5574,749,77,4,30,10,827,1439736,92200,324,75,66993,1112327,324479,13939,248581,50287,24,391827,84,1973,104,13702,3405,38829,1796881,544209,170682.0
24,41166,1014,0,49,8261,42,3996,55,692,1777,210,36,1,5,2,517,327076,16380,324,56,13891,126304,324479,4823,41124,7729,62,13897,0,0,6,585,143,2031,342528,43380,29537.0
25,40465,1278,3,1202,7446,93,7773,0,9679,1747,353,19,3,7,7,273,537277,42000,298,76,27099,280035,601691,10884,109134,12518,281179,789156,32,607,97,283281,1091,22509,603368,74444,72335.0
26,56589,3755,45,2515,7446,65,8418,0,947,2281,309,13,3,11,8,66,621818,82425,325,87,3056,334093,601691,13252,164579,13516,79224,789156,24,419,116,17107,1297,9411,681060,96742,91237.0
27,28487,407,0,458,7446,62,11619,0,30145,3014,445,11,2,7,7,215,666322,86246,298,73,13432,394329,601691,10011,93474,9764,30072,789156,34,660,102,13822,140,8920,713286,112009,81278.0
28,36213,2423,0,350,7446,28,6793,0,1653,580,191,2,0,3,6,126,400955,61875,298,73,17351,180286,601691,8085,98979,14244,3854,789156,28,506,79,24642,177,2800,376419,53885,50673.0
29,48956,5858,0,1026,7446,27,6908,2324,1011,757,200,5,0,5,4,2673,513741,70819,296,73,17938,504331,601691,6665,131176,12629,312,789156,35,545,91,41937,158,87900,618334,59759,56651.0
30,51292,5227,0,1038,7446,56,9255,0,1100,855,271,6,0,6,3,215,666360,67404,296,73,909,217183,601691,8403,129542,12289,8112,789156,28,637,82,11793,0,0,667131,63203,66345.0
31,5764,23910,0,1561,7546,42,3486,26,623,439,177,7,0,4,1,78,327760,68320,295,54,5428,99979,601691,73989,81435,3277,0,789156,4,70,44,9607,1,0,363194,58526,53662.0
32,50274,4804,10,1060,7446,95,6946,344,436,708,93,3,0,5,5,87,489379,63900,297,73,15250,252845,601691,8207,83326,13911,5094,789156,38,1025,102,14652,318,10871,490708,63372,86200.03253012049
33,129551,835,2501,6532,10950,60,4346,60,4288,3183,889,29,0,7,7,23,835610,47600,349,81,14892,99110,36868,2757,76168,0,0,298771,30,795,14,3364,567,8800,1141838,72840,57220.0
34,67278,1616,303,1577,2849,84,4943,2616,1528,2190,247,21,5,4,10,66,249727,77883,299,84,18564,181261,68754,3827,56163,36,0,106522,0,0,23,416,109,0,240978,69134,50000.0
35,2538,477,0,0,8230,11,3186,634,303,521,99,2,1,2,5,46,206863,35022,297,78,15824,154051,410742,15824,40637,8496,2080,3580000,45,775,256,3080,0,0,184561,31116,35022.0
36,35103,1402,0,513,8230,11,4718,1792,445,492,128,5,1,4,0,2,205167,34899,297,48,251,65512,410742,1877,37077,15103,0,0,0,0,55,9074,0,0,175932,35720,34899.0
37,19707,0,0,0,0,15,4270,0,670,456,55,2,2,3,2,3,200394,41800,151,72,1720,130128,471154,2643,27281,4686,0,5255,37,920,11,1291,0,780,758564,33867,86200.03253012049
38,46555,2762,52,734,3440,66,3564,0,1305,886,241,13,0,6,4,703,454302,14930,282,74,24776,233821,664496,6307,63776,7473,12289,35813,59,898,62,5866,1380,11179,535865,38016,42888.0
39,80238,16685,42,7959,39019,181,5492,0,3738,3004,236,18,3,9,10,4,274026,25000,300,56,8220,181222,254073,24554,200960,2938,40002,189892,49,1335,85,36056,560,6278,369158,137372,86200.03253012049
40,31097,0,0,196,7413,36,3311,49,4450,1153,250,19,0,5,4,1,260017,55654,300,54,1899,284124,254073,32707,126640,0,17450,88756,19,399,16,2624,0,0,308062,68404,57405.0
41,52106,196,0,1104,7006,51,2907,675,3716,1159,197,18,1,3,5,12,159047,51694,300,54,23976,170367,254073,33240,117360,0,1872,89400,25,579,7,3146,650,0,333480,57806,52738.0
42,68153,86,0,2148,7382,33,1388,2285,1461,857,164,11,0,5,3,2,316798,53494,300,54,756,104115,254073,2800,48137,0,16180,88756,6,146,23,920,468,8103,362747,60322,42920.0
43,49952,0,174,229,7382,42,3868,0,2300,1194,305,20,0,5,8,0,270210,51694,300,54,1908,167054,254073,20504,70686,0,17450,88756,19,441,20,1397,458,8103,370940,57916,42920.0
44,19094,0,0,82,7382,32,26590,0,1684,1097,170,9,0,4,0,1,258313,51694,300,54,483,22329,254073,5297,22354,0,8022,88756,9,182,8,862,404,0,687391,215948,47526.0
45,100647,3330,569,15056,4786,246,6381,11362,1539,2406,298,54,4,6,10,35,1272873,96760,299,64,25850,213291,62763,32990,92708,1269,6000,598827,60,1707,51,15762,2688,30000,949193,8900,96760.0
46,70193,2593,29,7002,39019,72,6050,5150,1475,1074,225,10,2,7,7,52,493252,65500,270,56,14786,38777,62763,2326,40374,817,10800,152066,27,619,43,4720,584,0,453713,53000,86200.03253012049
47,85932,6855,20,0,4789,43,3167,6561,14761,1665,240,33,2,9,4,159,541904,50384,288,70,43821,709336,516017,52795,200343,185,6912,234396,24,464,65,16652,615,0,518444,33930,43637.0
48,24030,0,20,818,4237,66,29703,0,1760,2998,350,10,3,12,2,5,1099528,105224,201,88,5770,554283,516017,44224,79551,906,2412,233136,22,1093,14,4087,458,0,461830,82643,95000.0
49,267909,17240,97,16896,5862,535,16235,10904,16404,5586,973,61,3,40,4,4299,3289153,190200,299,68,22263,673677,57527,11852,179787,89,9654,255238,62,1208,109,34755,884,4600,3364816,219794,195608.0
50,112287,2396,0,7312,0,360,7593,6881,690,1196,201,14,2,10,3,840,2140405,74320,297,57,5471,171828,345947,1755,64610,17,6032,49168,97,3004,88,16116,56,3940,769088,85920,78320.0
51,109974,2658,0,8559,549,157,4910,12,1561,1209,218,21,2,10,1,443,400265,54400,299,52,8100,127280,392092,2752,45552,4,6782,485587,14,209,56,9589,0,2337,324179,56960,58400.0
52,276383,8014,151,28911,14852,769,15361,20079,6633,3897,569,90,4,33,6,1608,1233698,164140,300,68,53660,578643,967510,187821,432213,3920,7116,201808,41,935,109,40910,11088,3000,1100425,193684,164140.0
53,83187,1300,0,2508,0,167,6596,0,1840,1494,236,28,5,10,4,251,684022,68020,258,68,3419,61283,111984,15619,28239,3,6240,0,74,1748,63,9216,0,800,725088,79820,59200.0
54,120524,6592,0,4604,2589,238,8614,0,3390,2092,270,24,2,14,0,739,1216658,91446,300,60,14112,200471,441584,2940,72449,2,11284,34709,43,1096,56,19787,59,3200,1082370,93376,91446.0
55,192256,7381,1690,29509,11566,698,15741,16952,2216,2360,338,25,2,37,7,1222,3308389,171800,299,68,23462,393096,1202628,4907,201326,19,12516,189872,34,824,111,53734,21324,23993,3266412,175200,171798.0
56,680266,9863,1170,6108,6385,457,16794,3108,4958,14900,1154,85,11,53,7,3198,4414894,213000,300,68,25106,756460,1202628,17400,277414,51,0,6214757,136,3075,780,226484,834,4200,5023167,259764,241200.0
57,131045,4054,129,6863,1707,457,7611,423,2940,1497,400,22,2,13,8,1157,734917,78553,299,68,12369,212438,481530,3735,53540,11,3288,77643,36,1036,95,15452,167,0,500765,54756,64000.0
58,113483,2419,53,5093,1899,244,5744,8042,1662,1395,245,21,2,10,5,549,712002,66176,299,56,7958,156603,152925,1719,28651,2,11514,395664,30,640,77,16780,210,1000,692962,71000,60400.0
59,102456,5789,52,4580,2510,207,10262,8408,4552,2373,337,31,2,14,4,2161,1443983,113360,293,68,22999,379059,691086,6807,121778,71,3342,78012,32,757,63,21958,375,4780,1320795,123040,113360.0
60,62531,0,151,0,0,25,2099,9411,1339,857,156,1,2,3,2,0,236000,1000,330,90,45472,77519,259485,1322,19850,81,0,100,0,0,0,0,0,0,286993,20946,86200.03253012049
61,524957,1107,553,2823,51854,33,3155,0,4343,2557,339,33,3,6,4,16,673543,172280,323,57,11608,112261,259485,1951,86700,41,823,66255,52,1560,23,900,48,0,763744,105990,75000.0
62,29062,1101,0,0,1150,22,31335,0,2325,1497,100,5,2,4,2,7,303212,35064,119,60,2692,55238,259485,2219,41378,117,1176,0,0,0,2,60,0,6790,3025739,389557,35064.0
