,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,52674,1300,0,1790,10601,48,3781,0,1621,2848,159,9,5,19,0,0,357061,71719,302,64,552,90713,77421,1667,145879,0,0,1221,11,400,205,100630,188,0,576640,68419,15028.0
1,60324,39,27,1304,0,31,1459,0,1931,7301,147,18,1,26,0,0,391040,7200,293,44,305,9505,151290,417,4790,0,104,42380,0,0,0,0,0,0,1442443,12956,13201.0
2,25527,593,0,0,3717,58,3087,52,22820,4823,300,58,9,61,1,36,1545249,348600,294,54,5664,100426,675961,8103,457776,11084,0,35579,0,0,43,19666,86,0,181981,31911,31958.0
3,43981,1326,12,9268,14801,102,5520,0,7160,2103,136,8,3,14,13,9,1183946,68702,298,68,5279,286175,454040,20666,122134,13706,19474,229363,22,509,123,22932,347,0,1044233,67669,67637.0
4,138194,2880,0,3648,0,48,6888,3005,1650,1599,323,15,2,20,9,1852,967430,110385,299,88,408988,649053,481222,9048,224910,5027,29992,112105,69,1066,104,6977,389,2400,917519,81909,118490.0
5,88963,26181,58,3738,0,25,8140,2468,5359,2923,263,22,1,18,8,6,2068920,105223,299,76,22284,235024,226771,5838,208092,783,4637,0,77,1196,59,20879,113,0,2059077,105358,36807.0
6,59430,4179,0,1416,4266,50,9509,2236,486,966,138,7,0,17,6,103,569683,40850,320,78,1320,272558,126171,5567,93605,11243,0,418974,25,612,118,14751,416,7500,875604,105670,124806.0
7,22220,0,66,1546,1497,34,4860,5167,2450,1175,200,7,1,10,2,117,512179,103331,299,56,654,98928,174690,988,27486,5,5200,4383,31,429,139,29535,364,11911,480911,71752,30000.0
8,67429,8600,51,1829,0,42,4039,5581,3693,1470,97,8,2,7,32,2,708454,34926,358,83,5375,91575,62415,1288,62433,581,6552,10125,0,0,31,2484,0,14000,522047,14230,43250.0
9,77730,0,55,3043,0,54,2720,5119,2692,1485,150,7,2,9,6,0,654174,30400,358,80,8648,68336,62415,1433,26517,280,0,13882,24,336,31,2195,85,3750,542784,43765,32174.0
10,68869,1978,112,1545,0,45,3478,0,4503,2485,207,13,2,5,10,9,647296,30937,358,83,166507,368283,62415,1929,198469,544,1190,26739,68,940,31,2219,330,1000,468289,43763,147278.0
11,154373,0,315,6194,4319,76,4194,11026,7485,3602,270,18,4,24,8,2,790937,56518,358,83,15278,162671,62415,3346,79721,550,8410,36220,22,438,62,5937,374,1000,718694,76165,102179.0
12,181600,12293,51,7273,926,56,6823,4203,1488,2706,495,26,2,15,12,1667,1562911,103494,299,73,332506,707650,481222,9150,173528,1720,32292,141107,38,677,160,17916,559,2874,1119369,83261,83899.0
13,41945,2739,0,0,8841,35,5707,2646,919,1975,160,4,2,16,0,43,666425,83741,299,70,8297,257040,458165,10161,137640,23805,0,52958,16,417,61,27768,216,0,465376,65418,66695.0
14,36649,279,62,568,1274,21,2844,0,2201,1331,160,10,2,6,0,148,133842,18700,298,76,2927,68640,94982,1106,16014,95,104,0,3,70,25,1062,179,1950,130383,33069,81000.0
15,57316,608,179,6748,16501,60,8192,5068,1993,2751,281,15,2,18,11,897,1024570,95385,299,56,1299,7398,52276,3496,11891,1454,3744,237639,139,3648,15,67989,1872,58236,1154107,100020,94814.0
16,35575,3881,21,0,21668,22,3898,1469,1245,368,110,3,2,8,3,69,322491,33196,302,56,8756,246671,545169,9629,55536,21400,288,69777,0,0,43,11030,66,4608,303920,37231,11538.0
17,34149,3260,89,2123,22687,104,13414,10,4480,1057,185,11,3,18,7,403,1001545,150650,323,84,3301,627588,545169,73136,434867,31327,109622,50860,8,121,179,474781,106,2800,830972,148838,145230.0
18,79238,1746,92,0,11914,94,3234,1016,1626,1140,137,10,3,6,9,253,672462,48778,298,70,1602,78328,839566,3793,127054,4097,16412,64219,25,390,74,16243,2512,9944,710467,67807,51319.0
19,85555,7380,30,3136,6934,34,7982,6324,1252,1207,214,22,3,15,1,682,2459767,43860,290,90,34290,409800,436067,50376,207830,25,31304,204017,32,467,109,6191,1018,10578,583843,88770,74898.0
20,71469,7059,26,2782,6462,58,8003,5446,403,1035,218,26,2,13,0,1094,600143,83392,248,60,37185,384621,436067,7143,158112,20,14880,200451,46,807,99,24270,1178,4098,582209,89268,79396.0
21,82670,8455,123,2543,6462,48,9409,6331,642,1759,391,30,3,14,10,1500,642912,45276,291,78,30549,643447,436067,10259,251050,6,16296,165112,32,694,105,36732,962,11137,564553,104493,85236.0
22,38800,458,2,472,6462,23,8024,225,2538,929,138,15,8,10,4,1632,438834,109440,291,52,3431,417094,436067,6351,224882,5,17460,106558,20,362,38,6922,523,1999,352135,48200,89864.0
23,88471,7705,44,3133,8822,88,8125,6795,987,1767,331,19,8,8,7,2016,715029,83671,285,60,65463,729342,436067,87064,182325,111,18304,252245,39,659,134,14579,997,8428,884705,92071,84892.0
