,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
481,82462,1219,45,572,12886,73,8660,140,16615,2305,563,9,5,6,10,385,866502,114352,296,68,10298,91190,806067,19408,201225,50638,58,1328668,1,52,26,8474,1365,5727,851022,135786,116107.0
482,263448,5193,1782,10890,12886,89,7503,6356,1597,2993,151,14,3,48,26,837,6712207,119409,300,68,20529,126071,806067,6771,200434,45248,6240,1328668,0,0,245,66534,1700,80008,4706135,554893,204421.0
483,105630,4086,8,6327,12671,45,54042,0,4250,3408,372,24,8,26,5,158,593919,84252,296,52,13295,45459,806067,5859,122766,69990,624,102205,0,0,22,2682,1378,3419,554037,109752,82643.0
484,125476,3486,66,654,2327,18,874,0,2201,1331,160,10,2,4,15,28,1150949,102131,285,66,3310,30830,92197,667,251641,92522,10408,1328668,0,0,20,3633,180,1000,850646,105281,103100.0
485,50698,3929,109,898,6434,25,1426,1811,1134,543,87,8,1,12,0,138,469790,40086,295,54,32399,76863,486765,6096,94870,8621,0,51321,2,15,20,1628,293,5912,405638,40022,38551.0
486,69053,4173,0,1576,5518,0,3192,507,680,1419,216,33,3,7,3,4,400099,39367,300,54,10665,71017,113822,1749,36144,69,176,623391,0,0,7,3843,262,0,361052,31896,40692.0
487,64837,0,24,1045,0,115,1653,0,850,245,3,2,0,4,1,120,473206,5950,300,70,7771,21438,47858,6892,28385,106,3439,17284,0,0,57,7218,2,0,430074,10000,105000.0
488,42379,1980,0,2217,7894,76,7750,0,701,1963,255,18,5,25,5,39,1233742,75425,324,60,1224,132200,510956,4212,136044,32029,9484,786280,0,0,214,43259,852,0,1229858,113581,115155.0
489,24247,683,6,348,0,9,1290,0,1057,201,13,1,0,2,0,1,55405,6444,288,56,795,14457,347097,7276,26458,1694,248,10500,0,0,0,0,0,0,44796,14232,14047.0
490,25633,304,0,1097,0,22,3459,0,7863,1386,200,2,2,8,2,22,370356,36972,300,60,946,19247,164528,24063,23002,29,0,84346,0,0,87,5878,204,1000,305802,37214,36858.0
491,14155,4,1,1,0,7,1358,5,1777,532,109,1,0,2,1,209,72997,15999,299,48,3123,13441,262451,241,9696,0,482,2934,2,30,25,5598,30,0,58394,11400,16000.0
492,71708,10611,21,0,5743,17,4828,17,8999,1453,241,15,4,16,4,8,657093,106352,322,81,15679,77093,116726,41207,181203,10,104,50070,0,0,36,1288,947,4000,550300,65999,132408.0
493,61569,5495,45,331,9981,35,5569,3265,822,1725,280,2,4,14,8,296,734193,35400,250,68,28102,40755,385483,9503,129639,44076,22393,69798,3,30,120,7728,708,46,913599,101753,30000.0
494,21674,389,9,3679,0,28,5921,3082,1300,2149,241,28,2,6,0,22,220600,12750,175,40,629,2951,1183714,7386,15002,12329,984,67595,0,0,21,1718,8214,7775,212700,28440,18249.0
495,10591,434,15,142,0,15,606,38,322,322,88,2,0,2,0,12,46000,11000,250,43,1477,15024,437008,432,16995,0,104,815,9,230,8,5103,65,0,46105,6400,11000.0
496,40023,0,147,375,533,25,2835,360,1365,1380,187,5,2,12,6,13,2023320,19549,294,68,4061,29125,35675,22135,13771,253,3042,1056,3,45,24,8204,996,19000,521965,16000,33183.0
497,150104,8688,121,3207,77724,26,3220,25983,3588,4010,400,16,5,22,12,6,1251511,163823,79,57,66777,57722,103470,4234,156258,68,6626,92755,10,181,88,18670,834,1945,1358526,150000,163800.0
498,14656,23139,0,6854,1,14,2751,0,1000,905,120,14,2,6,0,2,268919,33919,220,54,3626,22870,109953,1049,45982,10,7056,30732,600,650,62,12339,0,0,299364,36800,39000.0
499,14858,246,7,0,0,24,6749,1224,2929,1491,200,12,4,9,7,0,352712,33600,272,54,532,14777,265304,154295,55512,267,10880,196713,6,97,25,1252,107,0,318105,28093,30201.0
500,25702,967,0,678,4871,5,2435,0,1500,996,180,4,2,10,7,2,297479,14600,319,57,4051,42618,299182,4037,105253,10809,0,18662,0,0,21,5334,0,1161,326312,24891,25554.0
501,52949,11882,163,1815,6435,59,9356,26,793,997,221,5,6,18,8,58,924261,72367,299,57,17275,126624,486765,6497,131106,8645,1274,153234,3,35,256,463787,812,2782,935050,72367,70807.0
502,11240,0,0,0,2330,13,1289,0,616,547,70,6,2,6,3,3,157900,27040,254,11,348,7866,92197,1634,7037,229,10,13000,0,0,49,1160,26,0,163474,8999,1500.0
503,173303,4359,556,7275,26670,72,17024,9689,5002,3682,578,87,6,34,3,781,824135,151205,300,54,10575,245505,63429,3477,104401,51,72,0,68,1427,175,29673,1063,61640,1400917,151278,131500.0
504,94955,0,0,0,0,0,2161,0,20000,1160,180,15,0,0,6,0,261120,25000,287,49,6523,9062,63429,2873,9519,0,0,0,0,0,0,0,53,0,253610,30000,30000.0
505,75326,0,0,3020,0,64,1535,0,766,365,6,1,0,14,10,890,114000,10000,329,78,9249,148231,223177,850,3225,0,0,0,0,0,0,0,0,0,122710,20000,12500.0
506,114206,3476,0,7139,8548,10,3609,0,4221,2382,494,29,0,15,11,76,937833,130800,253,56,22119,52104,52937,5415,15101,121,10920,16934,19,184,63,2241,3036,10900,937833,130800,130800.0
507,69825,5687,0,3089,8265,152,7599,5344,1012,2466,472,18,3,26,4,6,1066503,94550,321,61,25049,281708,510956,12157,112195,36036,78384,786280,0,0,668,58523,789,3372,1010939,107900,91850.0
508,180651,878,198,7128,20052,159,6030,0,11880,3481,516,14,4,11,7,6,4032262,92233,301,70,27240,161601,1032741,16040,223187,14830,18060,0,0,0,24,9619,2486,6196,1179439,92760,89674.0
509,50991,3632,533,589,2581,33,6683,0,1224,1722,348,14,3,22,14,36,1367280,59379,324,81,15998,70990,291231,17581,56100,12000,97268,74455,20,304,28,5325,1501,10527,1502679,94513,59189.0
510,139865,11391,80,1747,210439,101,15411,1009,5436,6813,604,30,7,14,21,835,1064685,172508,323,74,31597,643680,1077508,1282,696051,19387,9822,1096653,0,0,65,7491,1402,5750,1408035,208237,163483.0
511,47474,2573,0,45,0,36,2888,1,1333,1333,156,5,3,2,2,1452,151900,28600,289,69,7878,106750,371895,10324,219451,16436,5400,333988,0,0,8,1200,247,1000,156729,30110,33801.0
512,64183,0,0,1508,0,21,1037,271,924,357,60,2,0,2,1,16,73140,11000,296,47,33777,12529,544926,632,30221,0,2960,25492,16,92,11,2398,70,0,145113,37050,11000.0
513,48673,3412,0,0,6108,40,6955,0,7536,1829,140,12,3,9,2,824,505312,91372,281,72,8335,98781,85176,2374,87127,12,0,67753,0,0,35,3941,1073,7862,496030,83778,83843.0
