,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,43159,53,0,868,0,108,768,0,1931,7301,371,39,1,8,0,1,799571,17613,298,49,5083,213626,165207,1368,297942,7,503,484200,0,0,0,0,0,0,799571,17613,19950.0
1,95025,0,0,3055,0,9,6617,0,4887,3887,800,23,2,8,5,7,887293,77298,301,87,83359,426063,496513,6423,94200,0,43000,81000,173,2924,43,26377,90,0,926535,64964,63879.0
2,31294,634,70,827,0,60,32815,0,4503,2485,210,14,3,4,8,21,501373,49759,335,82,1824,109476,60794,2411,59027,377,5376,5560,9,177,44,6592,65,8000,503976,168700,45000.0
3,63022,0,5,2677,0,52,4003,0,2692,1485,213,6,1,4,8,0,329735,25400,356,82,5031,93944,60794,14952,32066,184,0,63985,14,430,44,6097,0,5700,251850,35585,19223.0
4,130772,0,166,5205,3813,89,2054,1875,1377,1322,179,13,2,3,9,103,549573,32200,357,82,9811,185783,60794,3168,83445,600,1414,16945,3,130,49,11006,289,22856,522639,40000,15000.0
5,133110,0,0,6671,926,12,8431,0,1488,2706,800,25,1,14,6,2137,1311613,77298,301,75,63607,500136,496513,9053,172040,1260,9000,0,25,661,50,25382,42,1631,1351577,77646,87879.0
6,15118,963,14,0,693,15,5573,0,1530,475,92,1,1,2,2,322,1305517,38310,300,48,2202,79497,559047,2155,48193,0,0,26486,13,218,53,5693,27,3560,167826,26000,14193.0
7,59355,0,0,0,0,20,2798,0,10101,308,12,0,0,2,1,0,105630,22880,301,54,3777,31112,264091,965,24681,0,0,0,0,0,0,0,17,0,98000,20000,25000.0
8,22427,1564,9,2238,14413,17,3185,2,1245,568,199,1,0,2,4,48,168965,32000,328,57,3519,204053,564197,35327,56736,16444,4632,29080,0,0,18,1006,2,0,155623,33226,30831.0
9,144014,5007,131,7761,25133,559,18725,9388,1079,1631,375,38,0,19,7,304,1461491,175820,314,81,56304,496510,564197,10069,234212,62,87744,305182,348,1543,95,21906,698,16467,1477517,173781,169653.0
10,51331,4021,16,2385,2964,78,9871,250,1252,1207,216,37,3,4,5,1145,447190,66000,296,88,20908,323745,487905,11187,280480,20,300000,255636,32,1526,119,8293,422,35,487490,103000,91222.0
11,53150,3875,0,2002,2964,59,6698,4175,403,1035,90,25,2,4,5,1053,694980,38000,299,60,25144,372372,487905,9437,220642,30,200000,222544,39,1225,177,13360,387,1690,460939,66240,67296.0
12,43619,4354,610,1569,3263,47,9089,178,642,1759,371,42,3,4,9,1141,605841,74500,296,94,15487,929350,487905,11878,304817,5,200000,295831,43,1282,430,13539,344,2850,622293,107500,95926.0
13,61607,4974,0,2590,3026,121,6910,0,1945,1932,262,39,5,5,6,11,579969,57000,302,60,44014,566072,487905,15189,286529,60,70380,340007,48,1288,77,11789,285,3100,524912,55000,75655.0
14,163467,4895,17,6802,27935,1002,12701,11883,3196,3082,816,30,0,21,6,721,1658552,181131,328,110,81500,703609,487905,124867,317841,56,403442,290534,749,2616,334,95538,1030,10918,1481039,148958,178025.0
15,165019,1363,1304,6614,6450,94,13029,3060,8678,4944,660,44,0,20,11,39,1363572,123890,296,74,13636,430746,217741,78033,186704,4,1518,146806,157,5044,276,109000,1117,37330,564189,133076,123890.0
16,374596,0,1221,3810,2169,100,30254,0,4067,2583,435,41,2,6,18,0,1363393,153710,302,78,50731,718008,217741,13253,251258,2298,30200,72800,41,942,7,650,0,0,2104633,250671,153710.0
17,168480,4399,360,10944,6600,91,8207,1817,8002,5575,287,56,2,20,15,727,1606875,47140,330,102,59946,1613534,343157,167039,374272,33,104,898391,119,2312,156,9293,2891,0,1626485,80000,98954.0
18,24448,498,0,0,0,46,2523,0,692,1777,50,20,0,2,3,1,234586,40880,327,50,11025,149065,343157,27130,43978,2921,3676,627350,0,0,23,2448,0,0,228134,25000,43507.0
19,20883,0,0,1237,0,70,22190,0,947,2281,253,20,3,8,4,20,735892,66100,187,74,7857,117072,567431,47615,90189,332,4988,848384,17,394,18,2480,693,22132,435845,90002,51610.0
20,27051,2798,0,633,2505,26,3437,313,1011,539,100,5,0,5,2,15,406077,24000,300,73,1261,104798,567431,5191,142158,1810,26832,211932,79,1822,75,19306,0,2480,392494,35000,21783.0
21,27478,2706,0,492,386,36,3705,0,1100,774,200,4,0,6,2,1661,573897,28952,299,73,16561,242668,567431,7949,215640,2083,11200,300,45,1036,116,16959,0,0,545358,32498,32799.0
22,222194,6429,600,8248,25904,703,17249,14038,3576,4024,705,41,0,29,3,306,970713,205317,321,100,7200,966366,567431,196368,362576,243,253214,291369,489,4586,150,41040,176,3110,1014712,179098,201176.0
23,2923,3416,0,729,0,13,0,0,1636,623,177,7,0,4,0,19,235068,2340,10,54,218,2515,567431,0,0,0,214,0,0,0,5,440,729,0,24605,0,25000.0
24,30782,1831,17,635,106,35,2599,35,436,708,106,8,0,5,2,30,366479,24044,298,73,10401,218854,567431,61660,120281,1849,11624,211933,8,184,72,11315,0,0,338161,30035,28849.0
25,108915,278,5109,6089,9985,65,4320,3560,4288,2379,745,29,0,8,9,26,792705,34000,351,81,11466,137458,40241,2715,141111,0,235,74708,8,556,11,5318,6271,5000,805283,50000,34000.0
26,54187,0,100,1334,3686,26,3779,0,993,871,192,14,0,1,6,2,349731,56880,303,78,10544,54429,66752,1917,31335,0,0,7972,0,0,12,1579,59,0,1724563,74091,69090.0
27,10966,44,0,0,0,20,957,0,303,521,77,2,0,0,3,3,117604,31068,300,78,2347,102774,427520,4367,35636,6022,5184,621595,0,0,24,2700,0,1000,67887,2610,20000.0
28,20919,737,0,251,0,15,2817,0,445,492,128,6,2,0,3,2,143927,42068,302,54,4347,123024,427520,31756,74601,10127,10210,725875,128,2560,58,16041,0,0,124320,35100,30000.0
29,18234,0,0,634,0,132,2682,734,21485,670,40,0,0,0,1,12,13400,11000,300,52,518,22378,495911,22371,21962,0,0,0,0,0,4,853,0,0,11675,8904,14077.0
30,180665,5413,98,9796,26376,904,23363,12291,10000,2377,613,43,0,21,9,2549,1615106,211073,324,81,74321,1221981,564197,21773,465224,190,281064,265864,815,4390,186,89423,487,6852,1621099,183934,184551.0
31,78033,4028,350,4088,3323,255,7603,0,3738,3004,659,25,3,8,5,24,570671,58300,301,54,58304,224148,99991,5527,133454,0,77786,30175,85,3743,55,8899,246,238742,741742,70000,57500.0
32,33626,150,0,899,4708,42,7022,0,3715,1158,191,22,0,5,2,2,333156,63460,301,90,15119,184690,236944,5285,123137,0,0,23276,31,736,48,15187,706,0,328003,35000,56028.0
33,64750,0,0,1776,4708,30,3192,0,1807,857,151,19,0,5,2,1,329146,55500,301,90,10934,156080,236944,3603,66953,0,10812,23276,6,139,10,208,47,0,293630,30000,48098.0
34,89370,0,0,287,4708,30,24208,0,2300,1194,305,20,0,6,0,10,351185,61489,301,90,10303,185080,236944,4548,184747,0,15926,23276,18,718,19,1010,138,0,358003,35000,49374.0
35,82099,2251,429,8337,4077,134,6720,134,1539,2406,298,54,4,6,10,19,684416,97990,300,54,19591,280055,63103,122354,101548,24,42480,121222,21,578,45,8107,2392,31232,789990,89990,97990.0
36,62129,2068,60,7345,1066,70,7194,6010,1475,1074,225,14,2,6,4,12,463294,75140,300,53,14956,127620,63103,2411,38363,0,240,18250,6,461,23,3522,29,0,284452,71617,72500.0
37,84798,0,0,0,855,33,10719,0,14760,1665,287,33,3,3,5,25,451695,64536,301,96,34957,330144,469887,145181,331812,0,7624,414770,47,851,36,5008,482,0,1969317,51310,64111.0
38,249556,13627,0,15158,6226,982,22028,19805,16404,5586,1568,73,2,43,5,2718,3269847,242280,300,78,41429,1192128,71068,17191,334873,253,5140,259481,66,1177,81,23941,452,0,3215955,228600,242255.0
39,98085,4504,0,3609,1774,334,11703,0,3390,2092,510,17,2,13,2,588,1074901,132254,300,56,10201,237841,429147,40479,117120,8,9152,35137,27,826,124,15083,15,4240,1010967,130712,122686.0
40,101561,3937,0,3964,1666,462,12439,2075,4552,2373,277,33,2,14,7,481,1363357,108840,300,68,11233,267493,525490,6979,152692,90,3150,16174,52,1344,76,13254,0,5357,747126,111320,94320.0
41,316481,8736,124,27327,2943,1098,21216,0,6633,4059,567,111,4,33,10,2977,2335398,200300,300,68,93870,981359,233997,53445,457279,3198,1203927,90764,104,4551,93,27621,10723,21770,1089226,188300,170300.0
42,225775,6739,1655,27295,6784,168,21620,20246,2216,2332,369,22,2,40,5,1786,2585984,208779,300,68,54567,605848,291757,8537,296890,113,6410,270332,37,1300,61,28494,21072,10770,1331453,212027,184243.0
43,116815,2022,48,6662,0,510,6164,5886,690,1196,289,18,2,10,1,2,673729,68040,300,90,26349,326332,275656,2612,124068,12,41322,28500,54,1502,76,13243,13,2400,485755,64740,63160.0
44,103673,1844,0,8865,634,223,6914,8336,560,1209,218,28,2,9,5,0,651756,62290,293,52,22100,408634,287432,4191,88441,39,5824,88200,10,305,406,9247,0,0,646316,56290,56290.0
45,71575,872,0,1344,940,259,4857,2237,324,324,35,4,0,4,1,1,244479,48090,300,54,7735,106918,109550,1092,32981,124,0,132618,30,720,20,2366,204,0,141453,44246,40050.0
46,137854,2898,0,7159,1243,472,9679,10144,2940,1497,500,20,2,14,9,14,503858,119720,300,68,41963,426596,434305,4100,144368,159,2704,417680,54,1428,142,11785,30,0,430521,113343,101000.0
47,115120,1579,86,3800,1931,101,5941,5000,1662,1395,337,23,2,9,1,607,350010,75300,300,56,24624,243902,157559,3295,119871,129,14712,214606,37,1095,41,12747,101,0,286975,75250,81379.0
48,621190,7696,195,4683,3912,378,15394,0,4959,14900,1154,130,11,54,6,3472,4711921,214304,300,60,82649,1216579,332633,26473,393409,337,9820,5357663,37,1044,160,44823,342,52060,2433485,237333,240943.0
49,57929,0,141,0,0,21,2445,0,1310,783,194,1,2,3,1,6,296869,32040,330,56,6776,117226,246358,1466,85706,0,0,0,0,0,0,0,0,0,261875,23000,30000.0
50,87709,912,23,2052,46787,22,19389,0,4343,2557,508,43,3,6,5,8,745385,124440,330,91,30030,223699,246358,8331,263362,538,390,60771,55,1702,8,320,74,3000,857502,151000,180000.0
51,146439,0,0,5717,10339,126,9903,6600,6817,6064,1156,135,5,45,7,777,4270487,86986,330,88,30402,682048,246358,13167,375921,8,3458,7878749,49,1280,159,70419,632,33299,4209533,100000,97813.0
52,54413,716,0,2776,2059,86,5646,2024,1693,733,24,11,0,6,0,0,186716,45040,300,45,8256,66347,35343,14188,29982,6,100,6270,60,300,128,21624,0,1847,254382,58257,50428.0
53,247295,1303,1596,6280,2563,550,12720,10631,6470,4497,1200,70,5,26,5,6,1733034,154390,329,77,20164,513771,416949,12204,317525,8,188,1275084,42,1388,164,124159,755,6423,1810868,163620,160390.0
54,69626,13,0,2917,1442,107,3906,0,940,1023,300,13,0,7,0,0,479592,40640,339,60,7735,76900,33934,24279,41949,0,18200,19207,3,48,29,6355,13,0,479592,40640,41386.0
55,212629,653,234,10037,7452,419,14973,9272,7628,3828,1208,32,5,25,7,5,1920081,150650,327,88,11998,432206,104182,8467,198451,12,0,19540,53,1513,92,38222,343,6537,2292345,170000,149906.0
56,65489,0,0,2921,365,124,3375,4573,1040,774,290,14,0,5,1,0,288411,21460,299,78,2588,41243,104182,830,35576,4,2745,2158,4,54,13,1626,0,0,239963,32863,43250.0
57,63968,0,35,1838,1984,92,4061,0,5365,2205,510,30,3,8,4,114,628130,28800,300,56,7912,181038,45127,2018,50304,0,6240,106854,57,1020,65,16207,0,285,702023,35000,38000.0
58,206971,2242,2132,9498,1944,386,12743,0,4830,4302,1276,25,5,27,4,0,2037891,103540,327,71,43485,477157,168302,12570,250134,8,51116,52827,81,2264,134,45730,491,10340,2170843,126167,126563.0
59,64581,541,0,3570,1404,162,4868,4807,2310,1410,418,12,0,8,3,0,447104,51658,299,56,16231,87912,168302,3246,66617,0,0,7929,4,64,26,4236,440,7347,458183,50608,52343.0
