,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,0,0,0,0,0,60,0,0,5778.079584775087,1932.0,379.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,788229,47390.0,26047.0
1,66896,0,0,2459,920,39,2968,0,4887.0,3877.0,800.0,24.0,0,11,0,0,2892035,283630,299.0,62.0,25430,401163.0,501935,85271,446546,0,5980,185117.0,18.0,40.0,730,19292,0,0,3029748,394676.0,42127.0
2,35405,0,10,985,0,52,17309,0,2692.0,1321.0,200.0,17.0,0,5,0,0,210005,182000,299.0,6.0,2280,34371.0,55698,47296,92869,0,0,0.0,0.0,0.0,33,4381,0,0,355000,20000.0,120000.0
3,263588,0,0,4253,3813,141,30529,7280,2754.0,837.0,200.0,15.0,0,9,1,0,458000,306000,301.0,45.0,0,75334.0,55000,114144,66218,129,110,161253.0,1.0,44.0,29,3047,0,0,983420,350000.0,225000.0
4,87838,0,0,5383,926,94,7506,0,1488.0,2706.0,800.0,30.0,0,15,10,2,2892035,283630,299.0,70.0,4729,565614.0,501935,115803,191148,0,5980,76102.0,18.0,620.0,563,16219,0,0,3029748,394676.0,65834.0
5,48935,0,0,0,0,16,2641,1400,2665.0,326.0,60.0,0.0,0,2,2,0,98000,30000,295.0,10.0,4300,23812.0,19000,23812,36895,0,0,0.0,0.0,0.0,1,20,0,0,0,0.0,30000.0
6,140622,2713,0,4134,499,820,17900,31402,1079.0,1631.0,306.0,38.0,0,19,3,3,354914,98568,326.0,70.0,63139,584911.0,560958,108586,220021,5,102596,109500.0,86.0,1625.0,138,341675,76,0,327902,90430.0,106929.0
7,17808,212,4,639,29,49,18758,0,403.0,1035.0,218.0,28.0,0,1,5,3,587881,144089,218.0,60.0,7123,104798.0,116135,7123,119732,0,65400,171327.0,42.0,1115.0,52,7192,250,9530,670048,229269.0,91715.0
8,164745,542,20,4903,2799,1149,10044,9844,3196.0,2584.0,599.0,37.0,0,23,0,6,1359182,108540,327.0,63.0,71282,841193.0,464546,16230,262429,0,159638,149549.0,327.0,1309.0,1306,66484,27,50000,1325926,93560.0,95715.0
9,210721,1058,350,5012,1133,100,13354,0,4067.0,2541.0,476.0,41.0,0,9,7,1,1724722,220000,350.0,99.0,45037,568828.0,220484,223130,0,0,0,48600.0,0.0,0.0,482,13300,0,0,1724722,220000.0,220000.0
