,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,39396,0,0,668,0,136,2545,8,1931.0,7301.0,371,42,0,8,0,2,761868,42715,296,48,494,201764,10181302,583,5236,0,80,96692,0,0,0,0,0,0,762970,28397,24712.0
1,78658,0,0,2783,920,13,6091,13,4887.0,3887.0,800,23,0,8,3,2,578427,48875,301,87,31426,524240,499297,70306,123364,0,100,110084,1117,1072,918,26676,0,0,647358,60096,42696.0
2,53116,0,10,2183,0,38,7498,0,2692.0,1321.0,213,6,0,4,5,20,429534,34194,347,67,4085,77652,57564,25664,57061,60,0,55220,246,241,44,5075,0,0,416667,90605,30000.0
3,126937,0,0,4731,0,89,4515,9412,2754.0,837.0,150,14,0,7,9,0,464459,108911,347,84,9520,217010,36032,180849,164476,198,0,659824,17,15,53,2807,0,0,495802,157840,30000.0
4,105664,0,0,6405,926,11,9807,36,1488.0,2706.0,800,30,0,15,11,1,1049337,48875,301,70,74046,635840,1484180,98203,164533,6,6062,127587,685,663,25,26806,0,0,1204101,82805,64265.0
5,52120,0,0,0,0,13,3355,0,2665.0,327.0,30,0,0,2,1,0,135360,57000,299,54,8980,35950,6872,10580,49787,0,0,0,0,0,0,0,0,0,98000,30000,35000.0
6,15247,414,0,659,0,10,16357,27,0.0,568.0,193,1,0,5,0,0,119377,25400,186,61,663,90783,10208302,2410,16590,1772,39060,3532,0,0,0,0,0,0,127653,78394,27203.0
7,140098,2754,154,5932,503,833,11566,10263,1079.0,1631.0,334,38,0,21,8,14,466393,130200,319,61,45834,611438,10208302,104560,226070,56,116188,179670,1612,1140,115,31304,76,0,1150852,106000,131573.0
8,23221,2312,0,1444,0,66,26983,0,1252.0,1207.0,216,33,0,3,8,7,407893,91000,65,84,3779,74980,90927,21559,36716,0,1000,24860,0,0,11,495,0,8555,144684,0,85000.0
9,38008,2712,45,1369,97,102,8934,17,403.0,1035.0,218,30,0,4,7,8,392429,71000,294,60,16669,524350,484745,11427,249253,36,312000,626223,734,704,187,8614,386,875,156619,13898,65000.0
10,39667,2773,0,2018,0,131,13603,0,1945.0,1932.0,425,37,0,4,7,766,504359,86200,295,90,25126,815300,484745,21525,341573,2,68258,243178,579,557,79,5359,236,175,203946,31237,85000.0
11,159537,1941,144,5884,2802,927,10012,12471,3196.0,2584.0,599,39,0,21,8,5,1566354,142320,154,77,70899,413487,10208302,77910,139338,24,69646,109754,1364,1062,67,22121,77,0,1549277,118373,141267.0
12,296711,0,950,5012,3552,190,50724,0,4067.0,2541.0,826,97,0,5,35,0,1173497,296596,312,105,6470,795511,217464,202363,383076,3630,15600,71905,1512,1440,13,450,0,0,3946267,485500,218946.0
13,160312,0,0,5966,6450,460,10528,12479,5741.0,4726.0,832,77,0,22,8,80,1667987,78480,317,58,37874,588233,218399,103189,194944,0,3284,74812,1713,1656,84,73948,396,700,1279196,97000,100966.0
14,144358,0,1436,15158,4746,197,19516,3174,8002.0,5574.0,620,99,0,18,8,31,817393,91400,329,101,49315,894070,340367,172550,559093,43,816890,406859,0,0,193,8775,2903,0,1251787,83400,81800.0
15,48419,846,53,4618,0,75,3166,66,692.0,1696.0,315,24,0,4,3,6,1363878,27880,331,63,12192,213121,340367,4821,111515,6,0,162744,0,0,0,0,409,0,426846,25000,40000.0
16,19804,1941,0,1289,916,22,2106,0,669.0,592.0,90,4,0,5,2,27,216746,25418,302,63,7277,776810,10208302,69408,126114,0,10512,125037,62,60,30,13932,0,0,235008,23750,0.0
17,18730,1591,0,1101,1361,33,5123,0,1100.0,1320.0,190,6,0,6,7,653,408781,23840,300,73,3472,107620,41888,3464,85830,54,62,200803,974,951,47,4888,0,0,351757,30814,16094.0
