,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,57359,53,27,56,0,115,1089,0,1931,7301,371,39,1,8,0,0,876982,19950,283,44,5179,113175,160070,0,3533,1,0,508184,0,0,0,0,0,0,876982,19950,21437.0
1,99897,0,0,3147,0,10,4964,0,4887,3887,780,18,2,7,5,1242,840520,77898,299,90,115847,421583,498917,58406,128463,651,10512,9077,190,2924,73,13564,0,0,800727,63879,76828.0
2,36124,645,80,872,3813,48,5086,0,4503,2485,207,16,2,3,8,2,511060,60400,356,91,2743,121023,61017,28697,60305,307,7280,3570,1,5,42,3641,68,6400,498869,45000,45000.0
3,65122,0,5,2759,3813,52,2182,0,2692,1485,213,6,1,2,8,0,339276,24835,356,81,5578,54923,61017,14551,31600,275,0,41760,18,472,45,7468,0,5680,282437,19223,30500.0
4,133248,0,245,5243,3813,89,2534,0,1377,1322,140,13,2,4,10,125,454336,20400,356,83,10524,171799,61017,3143,81643,758,7280,12359,2,42,41,5798,341,7000,292654,15000,18375.0
5,139934,0,0,6768,926,29,6938,0,1488,2706,800,25,1,16,10,2344,1405923,77898,299,70,30895,486714,498917,72958,178659,2550,20436,300000,64,1112,47,34708,82,1638,1345932,87879,76828.0
6,15990,1210,0,0,1646,24,2192,0,1530,475,92,3,0,2,2,213,151527,14783,295,54,2986,71412,556985,2128,39240,0,3640,21260,13,333,38,35439,51,696,142309,14193,240000.0
7,58264,0,0,0,0,23,1524,2642,10101,308,12,0,0,4,1,0,103000,23000,297,54,3940,31200,263283,472,27766,0,0,0,0,0,0,0,19,0,105000,25000,78101.54631828978
8,24873,1717,9,2433,15440,17,2799,0,1245,568,199,1,0,3,3,66,150563,13754,324,57,4265,189548,563599,6297,54204,12791,5824,47841,0,0,11,837,2,0,164045,30831,22356.0
9,146097,5610,131,8296,28643,540,16883,10606,1079,1631,370,37,0,19,7,261,1592423,164572,293,75,58324,447351,563599,8969,234022,41,92026,248249,286,1293,103,18525,858,23236,1555088,169653,157639.0
10,58744,4460,16,2587,4014,70,9113,192,1252,1207,216,37,3,5,4,1602,479672,61000,294,88,23225,571113,483379,9807,244654,9,300000,116782,47,1972,180,9517,613,1460,495021,91222,85782.0
11,54267,4390,7,2294,4739,50,5052,3123,403,1035,81,31,2,5,4,1105,493931,28000,295,60,27379,657112,483379,8930,280829,37,303804,161675,33,1129,144,32805,501,7508,476762,67296,56012.0
12,51902,5155,610,1674,4086,47,10101,211,642,1759,371,42,3,4,9,11597,621420,73700,295,111,18208,827295,483379,38022,318584,2,200000,313585,38,1282,217,14611,318,29768,824045,95926,55530.0
13,68763,5303,0,2662,4014,121,8666,1040,1945,1767,262,39,5,5,7,1345,582426,51000,294,94,48593,767613,483379,14232,258606,86,70720,208574,46,1044,129,13020,300,3100,551378,75655,75503.0
14,175937,5415,375,5185,35050,1002,14775,2,3196,3082,816,42,5,20,6,680,1770442,170586,330,110,84140,907517,483379,154293,330330,57,298620,365156,717,2846,189,157845,1145,21721,1999269,178025,166008.0
15,160863,3239,874,13427,6445,440,12617,13164,8678,4944,660,44,0,20,5,31,1561794,111120,300,74,693,362619,216806,69132,129801,20,1502,174001,66,1634,238,56445,1446,34602,1589042,123890,112031.0
16,410237,0,1241,3810,2262,100,25010,0,4067,2583,512,36,2,6,4,0,1030406,295200,302,78,52377,573811,216806,127264,233840,10185,0,113000,107,2079,15,1335,0,0,2163964,153710,321972.0
17,163342,4454,385,8516,8526,116,16071,4722,8002,5575,218,75,2,15,15,1127,833473,47140,327,78,62182,1766738,338707,13078,415860,31280,104,391200,108,2699,95,58851,3181,3224,1477614,98954,78101.54631828978
18,27451,614,0,0,8525,45,3507,0,692,1777,50,22,0,3,2,1,308594,18200,327,59,820,167227,338707,8292,50085,5522,29120,511000,0,0,19,269,0,0,287171,43507,78101.54631828978
19,17122,607,0,472,0,102,18914,0,3210,1641,347,12,3,8,1,225,532187,11460,230,78,7396,227256,569070,62766,62766,440,250210,300897,20,420,81,53902,612,28518,502240,91324,44578.0
20,28867,526,0,1810,0,86,9288,1197,947,2281,353,13,3,8,4,81,853562,74600,331,94,13397,293942,569070,12728,175490,2443,11216,300897,34,872,64,23896,814,21100,783857,51610,60615.0
21,30032,3107,0,633,2542,25,3430,0,1011,539,100,5,0,5,2,11,399561,23000,298,73,13359,174169,569070,4742,126566,1046,27480,42985,104,1911,165,59789,0,2080,390483,21783,22674.0
22,34637,3653,0,604,411,34,6575,0,1100,774,220,4,0,6,4,1820,523280,43399,298,73,18201,267123,569070,7295,190111,1014,10428,42985,65,1686,125,21888,0,0,586697,32799,39335.0
23,223888,6758,650,9133,28915,1067,20009,13032,3576,4024,663,41,0,27,10,158,944829,180544,326,81,74083,817240,569070,565383,338881,157,388138,446359,1709,7305,149,49025,438,3840,1025699,201176,178843.0
24,372,7721,0,789,0,13,1827,0,1636,514,125,7,0,4,2,72,261291,3120,297,47,1989,23612,569070,28920,28532,0,3116,300897,21,509,68,10232,21,0,255836,25000,51777.0
25,35016,2203,15,704,127,36,3000,315,436,708,106,8,0,5,2,27,406252,25836,298,73,11348,251550,569070,114886,114886,894,11912,310733,6,145,83,14322,76,1652,359426,28849,21991.0
26,113083,279,5190,6260,10368,65,4769,65,4288,2379,745,29,0,13,4,20,1171567,15136,349,81,12297,146255,40079,4390,141167,1,240,41257,21,504,10,8079,543,2000,757558,34000,13300.0
27,57240,0,100,1436,3883,110,3461,0,1778,2190,240,21,5,4,10,112,783551,90480,300,78,12407,110368,66735,2273,27837,0,0,8816,0,0,6,2035,59,0,486101,69090,44000.0
28,14296,568,0,0,0,14,3919,0,303,521,101,2,0,0,4,62,128809,25400,297,78,2576,174547,424964,15263,32661,6621,1872,2226373,22,523,24,20125,0,0,67833,20000,20000.0
29,24760,892,0,277,0,14,4099,0,445,492,128,6,2,0,4,152,107432,28100,294,54,770,708680,424964,35431,91567,7528,10405,725875,149,3250,84,22070,0,1500,87968,30000,25000.0
30,19606,0,0,194,0,0,1337,665,464,670,24,4,1,0,1,9,63713,12330,300,52,5914,32305,492528,8751,21303,414,0,1586,0,0,5,1079,0,4000,53429,14077,17154.0
31,186130,6845,133,10039,30987,808,21040,10951,10000,2377,443,50,5,21,8,2254,1791571,193148,323,81,76982,1296690,563599,22929,427549,377,267713,534616,1122,4354,198,181638,721,13575,1589663,184551,190146.0
32,78325,4027,1,7190,2950,65,6825,6083,3738,3004,659,25,3,7,2,18,662560,76300,299,54,2468,241290,242077,34152,189614,12,0,25890,120,5150,45,22033,169,7957,356945,57500,65500.0
33,38758,150,0,899,4943,51,5879,374,3715,1158,191,22,0,5,2,326,388568,43720,300,90,16819,201344,242077,4018,109343,0,31200,45475,18,480,61,5345,650,0,323108,56028,65493.0
34,63928,0,0,1685,4943,30,3806,3974,1807,857,151,19,0,5,2,1,400053,61000,300,90,11816,124343,242077,2050,57602,0,10374,45475,7,113,14,283,95,16000,320947,48098,61000.0
35,33386,0,0,149,4943,32,17861,81,2300,1194,305,20,0,6,2,17,390590,74330,300,90,13439,193848,242077,3136,106687,0,16848,45475,45,988,16,3760,191,0,329718,49374,55630.0
36,89561,1435,448,9045,4084,209,7563,209,1539,2406,298,54,4,6,10,19,1316288,79984,302,54,1110,284703,63177,57548,121521,28,59298,132985,21,896,46,15995,2516,20181,704416,97990,60000.0
37,63629,2558,60,7565,2618,80,9386,4923,1475,1074,225,14,2,6,4,34,451566,76140,299,53,15045,120598,63177,2243,36474,0,230,17500,11,550,26,3723,29,0,256294,72500,76140.0
38,92259,0,0,0,942,33,6878,6180,14760,1665,287,33,3,7,2,25,529028,65328,292,96,31830,588925,490035,185437,429048,0,11680,639651,48,1236,45,7647,564,1999,440347,64111,63527.0
39,252647,14639,69,15806,5202,569,18944,13322,16404,5586,1568,75,2,41,8,2231,3287868,228600,299,68,43642,1138657,70578,15506,293951,192,4334,292551,49,1255,77,22254,426,0,3204525,242255,228600.0
40,106659,5125,0,3834,2095,498,10267,481,3390,2092,270,17,2,12,4,1082,1008513,119231,299,62,8724,335545,430976,36623,113685,10,11960,51300,31,921,67,23181,15,8675,1021891,122686,100009.0
41,104499,4407,48,4215,1843,245,9835,5999,4552,2373,277,33,2,15,5,669,1264222,109160,299,68,13963,435552,530251,6897,148506,107,3500,52512,41,1314,61,16346,75,2642,605076,94320,110260.0
42,309162,8688,124,27074,3056,1000,18863,26861,6633,3897,567,111,4,37,10,3287,2867120,215660,299,68,38513,1068762,228167,23099,467500,3303,5940,131500,69,1999,171,41083,10746,5724,782907,170300,209158.0
43,238994,6569,1655,28118,7000,146,20310,6223,2216,2360,376,22,2,40,5,1792,2303398,216369,300,68,57880,642064,300908,8506,306224,198,12400,283849,48,1224,44,30460,20362,34015,2315343,184243,212369.0
44,111105,6814,13,6814,0,514,6847,7251,690,1196,299,11,2,10,1,495,159712,68040,299,72,27091,243148,286699,27536,57572,64,8356,19559,87,3031,250,13307,7,0,291668,63160,98866.0
45,101485,1933,0,7924,549,229,5478,8854,560,1209,218,28,2,10,6,651,589605,62890,300,52,23177,131106,312305,3802,74200,101,6240,44560,38,490,70,10593,0,0,644377,56290,56290.0
46,72154,1103,10,1515,940,261,4165,2992,324,324,70,4,0,3,2,0,260915,48090,299,52,7912,76832,109343,903,39244,68,396,173157,25,325,20,3174,204,2500,239142,40050,43968.0
47,135550,3452,0,7472,1319,512,9726,11519,2940,1497,500,16,2,11,7,34,437499,109720,293,68,44616,353016,442034,6736,122875,147,2808,321726,15,444,69,10404,32,0,484938,101000,90984.0
48,115217,1754,0,4048,1931,532,6545,6370,1662,1395,239,25,2,9,3,570,321761,77800,299,56,25392,169082,156603,2968,154620,173,14768,231237,40,1065,48,16594,101,0,323276,81379,81378.0
49,634012,8162,689,5000,5080,410,14726,0,4959,14900,1154,120,11,56,5,5286,4290327,220204,298,66,87972,1236595,331773,24662,361170,437,11064,5603227,91,2082,182,146772,403,1854,2428752,240943,183409.0
50,62190,0,143,0,0,23,4284,0,1310,783,194,1,2,2,1,6,132288,25696,333,63,7356,107332,248805,1462,100419,0,0,0,0,0,0,0,0,0,294829,30000,22000.0
51,152876,963,23,2254,49483,27,16642,0,4343,2557,509,35,3,6,6,8,656995,118096,328,88,32593,314720,248805,5536,206610,641,451,62585,67,1927,14,280,74,1000,802670,180000,22000.0
52,150665,553,0,5090,11097,378,12971,5747,6723,6209,1156,134,5,44,8,479,3462487,82304,324,91,33707,613687,248805,12012,327181,3,4992,10363770,42,1098,164,55463,688,42113,3572843,97813,100852.0
53,58990,716,294,3029,2057,201,4504,0,1693,733,18,11,0,6,1,0,446443,45040,297,51,8531,67637,35198,1144,31627,1,52,2104,3,51,42,9004,0,3200,466137,50428,45999.0
