,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,63561,0,27,930,0,230,954,0,1931,7301,371,39,1,7,1,2,836854,21473,263,44,5296,113718,156993,1777,1777,0,0,640278,0,0,0,0,0,0,836818,21437,19712.0
1,21459,620,0,8292,10597,110,30944,0,7160,2103,136,8,3,3,14,5,576498,63433,243,57,1662,223677,411348,13078,92080,3213,44564,18334,1,20,121,6302,0,0,482988,83425,61220.0
2,105527,0,0,3229,0,0,5712,0,4887,3877,780,19,2,11,4,0,816285,77286,298,84,155879,484600,496132,47753,178702,1099,361,37397,106,2017,63,14060,0,1440,880456,76828,107158.0
3,43391,647,88,1066,3813,50,7813,54,4503,2485,207,16,2,3,2,2,447723,50400,356,91,705,122438,61213,25820,82322,242,8008,5519,0,0,61,6435,69,640,454501,45000,60000.0
4,67945,0,5,2879,0,52,2943,0,2692,1485,213,6,1,2,10,0,468900,47900,356,81,6305,58017,61213,19168,58171,343,0,41985,25,479,44,7925,0,6450,433500,30500,47900.0
5,136316,0,246,5284,3813,89,3284,161,2753,837,140,13,2,4,9,337,534206,30400,354,83,11078,141043,61213,2852,72314,686,8008,7535,2,40,49,6309,67,6400,427585,18375,30000.0
6,147291,0,0,6851,926,26,7477,0,1488,2706,800,25,2,15,9,2501,1301300,127286,298,70,66617,553267,496132,88648,226058,1614,23944,74269,112,1728,27,18430,147,2350,1313954,76828,107158.0
7,18474,219,0,0,0,12,18484,0,919,2678,100,6,2,1,3,45,89600,38400,76,52,2672,100000,486221,13486,35005,961,0,0,17,530,15,1155,1,21420,378543,240000,67582.0
8,27237,1786,9,0,16121,12,3120,80,1245,568,199,1,0,3,3,62,177325,21007,325,57,5236,270131,578114,6692,58151,16761,4874,58385,0,0,21,1270,2,0,150494,22356,25384.0
9,147180,6696,131,8412,26081,555,14051,10217,1079,1631,370,37,0,19,8,127,1596390,158356,326,75,60507,468960,578114,9772,263120,94,113254,259351,478,2125,97,24156,1824,25921,1601895,157639,156294.0
10,64703,5063,27,2738,4439,63,7551,453,1252,1207,218,35,3,5,4,697,509822,67080,294,88,25226,643079,476597,9360,295585,2,300000,179896,55,2278,171,15008,685,1465,565690,85782,99968.0
11,57810,4468,5,2446,5383,56,5093,1336,403,1035,81,31,2,5,4,1943,538686,30000,294,60,29230,683920,476597,8187,252118,8,305760,175351,31,1025,172,30160,508,4836,520943,56012,67132.0
12,58564,5984,614,1755,4393,71,7796,364,642,1759,371,42,3,4,9,784,670216,77524,294,102,20816,699387,476597,381225,357287,4,240000,334584,96,1019,292,29746,398,19289,570367,55530,105327.0
13,72151,5408,0,2740,4439,92,6198,1,1945,1767,262,39,5,5,9,1128,484204,56800,294,78,51981,876204,476597,13504,268574,18,71240,205401,50,1180,183,19356,633,3100,297648,75503,86051.0
14,181648,6047,465,5543,28384,483,14144,6551,3196,3082,830,39,5,20,7,705,1732745,162883,324,110,86957,921055,476597,187764,323005,203,236164,1011010,827,3632,381,94395,2032,23426,1711069,166008,158255.0
15,163183,3496,874,7189,10316,391,9223,6043,8678,4944,660,44,0,19,5,44,1629691,75500,298,73,567,385016,215807,51600,112915,16,1600,104389,68,4067,190,100401,1446,28610,1737337,112031,109429.0
16,419618,0,1234,3810,2262,100,9401,0,4067,2583,512,36,2,6,18,0,1100230,341172,298,78,52377,558569,215807,108070,278068,15396,0,120000,107,2079,15,1335,0,0,2356806,321972,97985.0
17,27490,904,0,769,1188,96,9807,0,3210,1641,287,19,3,7,6,253,616550,52600,300,78,13958,276778,585160,8136,104212,4033,282882,505118,32,690,126,169640,692,6743,497664,44578,52484.0
18,40082,2077,0,2055,1688,89,12125,0,947,2281,291,13,3,11,5,90,933089,66415,329,94,18547,321272,585160,10442,176131,5647,11222,505118,21,477,127,42812,960,1909,860425,60615,105385.0
19,24552,3579,0,164,1188,23,3564,0,1653,402,166,2,0,2,3,56,289691,31080,297,73,12960,195903,585160,5375,86576,6001,3140,663927,23,357,71,22387,30,2080,272559,26080,37335.0
20,33011,3347,0,694,1188,26,3300,1,1011,757,200,5,0,5,2,1273,432541,29658,295,73,15125,171650,585160,4957,103802,5783,28080,72159,63,1457,187,55082,0,2080,386528,22674,43281.0
21,37193,4300,0,772,1188,34,7252,0,1100,774,161,6,0,6,2,1618,551730,39818,297,73,21648,264704,585160,8027,179051,7214,0,0,42,620,135,22464,0,0,521734,39335,47715.0
22,221465,7263,664,10782,25582,953,15303,15146,3576,4024,952,39,0,27,5,200,878498,183219,327,81,77895,837541,585160,18064,392314,129,520220,614203,567,7618,155,47906,1441,5200,877725,178843,165869.0
23,287,19313,0,1391,1188,26,7009,0,1636,514,177,7,0,4,2,61,293448,26818,296,47,595,18442,585160,54714,42525,1036,3076,505118,3,55,59,21799,239,0,293478,51777,35755.0
24,39482,2711,15,793,1188,35,4741,183,436,708,103,10,0,5,3,54,348984,26952,295,73,13079,218708,585160,6191,115145,6178,11834,505118,27,597,111,23643,99,1300,308074,21991,42554.0
25,114845,279,2372,6332,10368,65,1897,0,4288,2379,745,29,0,7,10,49,813902,27200,349,81,12850,134914,39861,3790,141916,3,0,49453,14,366,8,3728,567,2000,793426,13300,44700.0
26,61215,668,138,1239,2614,35,8621,1980,1528,2190,401,27,4,2,13,109,464338,55400,302,84,14229,140740,67118,24617,24617,0,0,806476,0,0,15,970,59,11085,223411,44000,50000.0
27,16213,803,0,0,0,20,2204,0,303,521,99,2,0,0,4,120,132458,21320,297,78,3159,161935,425831,17162,167754,7375,1248,1108262,39,909,30,7108,0,0,116776,20000,20000.0
28,26497,1125,0,277,0,14,1693,0,445,492,128,6,2,0,5,201,165756,31800,290,54,710,1055070,425831,43640,93103,14879,11140,1108262,530,1352,145,30000,0,2200,121867,25000,25000.0
29,20956,0,0,240,0,12,1571,268,464,416,40,4,0,0,1,6,38200,10200,296,52,6164,33278,486221,7009,17396,969,0,0,1,1242,8,1242,0,0,69127,17154,22560.0
30,185558,8336,388,12249,25582,658,17051,14616,10000,2377,443,50,5,21,8,1979,1779644,208117,326,81,80222,1236223,578114,20025,461096,164,284933,908932,1307,4264,248,187639,1647,11539,1754172,190146,176884.0
31,79235,4129,23,4296,3111,68,6811,5514,3738,3004,602,26,3,7,10,5,733635,66800,298,53,50652,235787,248287,35474,188243,21,2,18835,88,3136,75,12212,365,0,453898,65500,65915.0
32,44091,150,0,899,5753,51,6194,0,3715,1158,191,22,0,6,2,142,447894,71910,300,90,18347,191208,248287,4572,103198,0,31120,52944,21,486,49,948,647,15444,358462,65493,45094.0
33,69079,0,0,1725,5753,30,6001,0,1807,857,151,19,0,5,2,1,449571,68000,300,90,12554,121234,248287,2153,54171,0,11034,52944,7,153,18,310,92,2000,400053,61000,45815.0
34,39309,0,0,149,5753,32,6733,0,2300,1194,305,20,0,6,2,15,456744,56437,300,90,15580,194056,248287,3225,95814,0,17210,52944,25,954,25,3507,299,1380,371890,55630,90323.0
35,108032,1437,564,9277,4236,184,5659,1018,1539,2406,298,54,4,6,10,70,773615,91160,298,54,126241,266896,63137,47625,126241,5,18720,566177,17,464,43,14835,2516,14980,855623,60000,80000.0
36,68778,2835,70,7753,2888,80,5889,0,1475,1074,225,14,2,6,4,41,514326,76023,298,53,16205,122494,63137,2302,37248,2,270,18500,16,599,29,4712,262,0,451566,76140,46320.0
