,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,681,42,0,60,0,104,99,0,1931.0,7301,371,42,1,9,0,0,882804,65500,298,49,4817,88171,168382,667,5844,0,54,0,0,0,1,1025,0,0,802962,39155,17613.0
1,88496,0,0,2967,0,9,5850,0,4887.0,3887,800,23,0,9,2,2,882459,76058,303,87,46324,455894,317936,3957,83606,3,436000,80373,112,1879,33,19760,48,0,771166,60570,64964.0
2,59339,0,5,2357,1271,45,3807,0,2692.0,1485,213,6,1,4,7,1,454097,45400,358,83,4559,98574,59358,19391,42596,146,0,63754,14,415,48,8048,0,5600,405799,44339,35585.0
3,130772,0,158,5026,6255,89,654,4462,1377.0,1322,200,12,2,5,7,1,530898,45400,357,117,8786,187769,59358,3401,88434,215,275,9012,2,120,44,12103,1112,28600,409596,35339,40000.0
4,124852,0,0,6510,926,10,8525,0,1488.0,2706,760,0,1,16,11,1671,1308264,76048,303,70,100520,538576,317936,5950,188146,396,9200,0,37,840,30,56065,42,165,1231576,84539,77646.0
5,10989,181,0,0,0,19,11189,0,1530.0,475,85,2,0,2,2,5,199976,22880,140,48,1073,31833,560936,10475,20855,0,0,11538,14,350,42,5878,0,0,110723,0,26000.0
6,57487,0,0,0,0,20,4512,3921,10101.0,208,12,0,0,2,1,0,116616,27366,297,52,3630,30120,265488,759,25633,0,0,0,0,0,0,0,17,0,85000,35000,20000.0
7,19830,1374,5,1853,0,16,2776,35,1245.0,568,199,1,0,2,4,44,165419,32000,326,57,2812,184746,565710,29622,49896,10213,4590,24446,0,0,16,1375,1,0,144754,26176,33226.0
8,141741,4515,127,6880,499,659,13986,10070,1079.0,1631,375,36,0,19,3,374,1286506,171284,328,81,53525,546839,565710,10652,250921,79,164,748781,594,908,93,19966,317,12916,1355564,141892,173781.0
9,42023,3993,15,2480,2903,88,10830,0,1252.0,1207,216,37,3,8,3,11,412634,76000,301,88,17792,400773,495138,13003,358592,2,124800,319355,44,817,81,3781,401,0,528606,70000,103000.0
10,51481,3841,534,1853,200,63,7068,0,403.0,1035,218,30,2,4,4,8,449155,48090,302,52,22721,528164,495138,121701,249570,20,378112,731678,39,1287,255,17967,387,3100000,441728,40000,66240.0
11,35924,3516,600,1367,3127,48,11394,0,642.0,1759,376,45,3,4,5,1093,544499,89000,302,87,12119,955967,495138,12780,334609,6,500000,512821,34,898,337,7495,230,1760,518519,75000,107500.0
12,55004,4600,0,2443,2908,134,3649,0,1945.0,1932,240,39,5,5,5,11,503329,67000,301,60,39075,662029,495138,16597,319600,42,69988,503049,23,617,304,11135,242,0,493665,55000,55000.0
13,163820,3959,77,6883,2802,1002,12919,10446,16422.0,3102,212,32,0,22,3,752,641825,180460,329,81,78918,772644,495138,110776,232828,55,300608,340644,837,1978,284,103541,350,6620,627916,132500,148958.0
14,345238,0,880,2944,2169,71,20221,0,4067.0,2459,435,41,2,6,19,1,2631836,235800,303,78,48089,837641,217571,13857,278435,2003,31018,73804,88,1320,17,1786,0,0,1532415,89843,250671.0
15,23904,2561,0,530,2452,26,3733,756,699.0,539,100,4,0,5,2,17,352115,33120,301,73,1707,143453,569072,43902,128820,1211,25200,390852,65,1345,78,19448,0,480,352115,30000,35000.0
16,24141,2408,0,477,333,36,5056,0,1100.0,774,200,19,0,6,2,1278,547797,34000,301,58,13865,169041,569072,7669,173039,1500,11290,590852,27,812,106,15413,0,0,459510,30000,32498.0
17,220244,5690,119,8497,16430,879,20791,11426,3576.0,4024,1005,41,0,30,21,313,1036311,206968,318,112,95088,985146,569072,17999,341052,164,141616,259423,825,4690,146,44909,101,16012,1031857,175474,179098.0
18,29263,1496,17,597,275,39,4113,0,436.0,708,212,10,0,5,2,29,305679,7980,301,73,9160,188682,569072,45929,109423,1556,12820,590852,9,262,50,7587,0,0,327166,30000,30035.0
19,109039,0,5005,5928,9540,65,5716,9754,4288.0,2379,745,29,0,9,9,23,776000,33532,355,81,10758,145246,41599,1884,143799,1,231,6524,8,204,19,6140,5789,5000,775932,32932,50000.0
20,50762,0,100,1334,3332,26,2745,344,993.0,871,192,14,0,2,6,4,511782,52880,304,78,10043,70724,66779,1929,36829,0,0,9491,0,0,5,1575,59,0,392422,20000,74091.0
21,4367,308,0,0,0,20,4675,1,365.0,365,100,2,0,0,3,3,121370,50910,301,78,3208,156000,427468,9819,21318,4955,3128,652620,0,0,6,1920,0,0,135340,62181,2610.0
22,18374,709,0,268,0,12,6749,0,445.0,492,120,6,0,0,3,1,113370,42910,301,54,3772,58636,427468,38602,73359,9425,3150,24560,2,30,252,3840,0,0,129143,53285,35100.0
23,17134,0,0,534,0,11,2701,17134,21485.0,670,33,4,0,3,1,10,15370,10970,300,52,593,38996,500210,15448,23881,0,0,0,0,0,3,1004,0,0,27256,21587,8904.0
24,177038,4022,0,8731,18862,1061,18257,13159,10000.0,2377,615,47,0,23,8,2378,1448326,209635,327,109,67044,1193145,565710,37563,458019,167,206542,289703,1677,3941,131,114862,87,8697,1466693,182544,183934.0
25,71606,6673,350,3555,3237,250,7478,5494,3738.0,3004,159,29,3,6,6,28,665209,89700,302,53,55908,234647,232787,6736,177195,5,68856,37321,143,7159,50,8692,6798,6038,572534,71800,70000.0
26,48140,150,0,863,0,42,25242,0,3715.0,1158,191,22,0,7,6,5,349467,48538,302,90,7485,338622,232787,54331,158012,0,16238,29129,32,825,19,13950,647,4519,349827,48898,35000.0
