,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
0,103013,30,0,94,20,138,1871,0,1931.0,7301,371,42,0,9,0,2,869996,61440,301,49,4429,102393,10312545,640,13296,0,296,279437,0,0,0,0,0,0,781168,24712,39155.0
1,82730,0,0,2850,920,12,6986,0,4887.0,3887,800,23,0,8,2,2,686327,39240,300,87,32438,449844,499742,7413,99867,35,442000,89179,0,0,19,7033,40,0,684878,42696,60570.0
2,55687,0,5,2199,1271,40,2589,0,2692.0,1321,213,6,0,4,6,99,487060,57060,357,83,4804,84650,59916,2157,55041,63,0,69440,11,554,35,4943,0,745,472204,30000,44339.0
3,111488,0,95,11583,1271,89,3526,9130,2753.0,836,210,15,0,3,6,5,539332,45000,358,119,10214,159535,19894,3375,36720,661,214,0,0,0,27,4025,652,0,279204,30000,35339.0
4,116077,0,0,6432,926,11,6838,0,1488.0,2706,760,23,0,17,10,110,1122394,39240,300,70,81786,586088,1503664,12293,253104,365,9000,127587,30,835,9,3782,42,793,1092758,64265,84539.0
5,56913,0,0,0,0,20,4779,0,2665.0,326,60,0,0,2,1,0,134652,38852,298,68,3663,44716,18439,383,60980,0,0,0,0,0,0,0,17,0,135000,35000,35000.0
6,17917,1000,1,1388,0,17,4041,14,1245.0,568,199,1,0,2,3,43,155041,26000,324,61,1773,150239,570095,26435,48862,7313,45864,10395,0,0,7,407,0,0,129258,27203,26176.0
7,140011,3717,77,6565,503,1096,11672,10077,1079.0,1631,351,35,0,19,11,587,1277877,169987,324,81,49732,531086,570095,10547,231851,89,138188,457733,542,974,34,3664,122,3024,1378228,131573,141892.0
8,34324,1602,5,1762,0,66,10788,0,1252.0,1207,216,33,0,4,6,7,290099,76000,299,88,10678,382510,92891,10067,215014,0,124800,307282,11,280,29,2706,95,0,497304,85000,70000.0
9,46599,3270,32,1815,97,119,9582,81,403.0,1035,218,30,0,4,5,8,420048,46000,299,65,20363,524174,491871,11588,234422,28,337600,636242,32,1308,157,8434,387,875,403561,65000,40000.0
10,26326,2083,98,1112,3017,45,32583,0,642.0,1759,376,45,0,4,8,15,467126,126472,205,95,6897,813529,491871,5402,187089,4,400000,235396,46,1058,218,5146,220,0,319000,60000,75000.0
11,47574,4009,0,2219,2826,130,11566,0,1945.0,1932,262,38,0,4,6,1092,487170,67000,299,92,32783,662681,491871,17481,295711,6,69184,27742,50,1246,135,4264,242,175,561681,85000,55000.0
12,159637,3161,73,6364,2829,1033,13302,11475,3196.0,3082,551,39,0,22,11,688,1480587,162047,289,81,76738,875540,491871,15160,254973,1015,227542,238668,668,1814,50,36153,205,18616,1549287,141267,132500.0
13,320076,0,475,5012,3552,64,22364,0,4067.0,2459,476,47,0,5,19,0,2321149,349100,304,78,44980,825634,266564,14558,336391,4160,28680,73000,80,1600,13,340,5,0,2035791,218946,89843.0
14,160337,963,992,12410,6450,614,11436,11040,8678.0,4944,852,77,0,22,8,75,1854573,120540,303,59,30615,494580,218503,8113,124391,11,2024,70680,52,1870,34,30937,612,95000,1911955,100966,85046.64113475177
15,145953,4226,717,15493,4745,149,12895,3258,8002.0,5574,446,96,0,17,12,5,1031640,82600,326,104,52937,985724,343912,141866,489740,75,204,1190035,0,0,195,2992,2890,0,1226000,81800,85046.64113475177
16,0,0,0,0,0,54,1638,576,692.0,1696,315,34,0,4,3,3,304491,2800,260,54,13750,190784,32904,25050,87433,0,0,0,1,30,2,60,297,0,413283,40000,85046.64113475177
17,20883,1990,0,2842,2542,22,2199,0,1011.0,539,100,4,0,5,2,22,211464,22193,298,73,9620,248197,10312545,5526,140967,751,14900,430527,31,909,39,7719,0,560,261328,0,30000.0
18,20209,1938,0,1185,1359,30,2333,0,1100.0,774,138,6,0,6,6,988,474239,33564,295,72,10928,167921,574127,7513,154371,713,9360,430527,29,657,17,4489,0,0,403011,16094,30000.0
19,215563,4818,119,7500,953,971,18574,15221,3576.0,4024,1005,41,0,31,16,361,2369102,206487,327,112,89898,995370,574127,17059,342113,134,122958,260101,353,500,37,16006,30,3765,2451814,185222,175474.0
20,13889,599,0,41,0,17,591,0,7228.633199464525,352,129,2,0,2,2,20,147844,11200,300,73,5452,117719,574127,4922,78793,608,12480,0,44,671,21,11274,0,0,148564,11200,85046.64113475177
21,25147,1052,0,803,55,40,2052,122,436.0,820,212,13,0,0,5,24,327126,34908,298,73,7636,184160,574127,5630,88371,697,7,430527,8,170,134,1319,3,0,216972,1653,30000.0
22,114085,0,4950,5758,8502,65,5521,9718,4288.0,2379,701,29,0,9,9,48,663340,6000,303,73,9697,142524,41624,4453,131810,1,192,0,13,517,14,3510,5748,2145,906688,46104,32932.0
23,48424,0,0,1334,2933,25,3179,0,993.0,871,192,12,0,1,6,0,381540,32880,304,78,9458,71057,67104,1103,44860,0,0,6790,0,0,0,0,59,0,260504,20000,20000.0
